元大全球AI新經濟主動式ETF基金 (00990A) 2026/04/24

詳細基金成分
基金資產總淨值(新台幣),27306084616
基金每單位淨值(新台幣),15.68
基金在外流通單位數(單位),1741522000

股票
95.80%

資產金額
股票,26160376521
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1053161598
現金,USD$ 19787689.49
應收股利,JPY$ 63443295
應付受益權單位買回款,NTD$ -358469497
應付申購預收款,NTD$ -36984255

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,7.22
2308,台達電,628000,4.77
SNDK US,SANDISK CORP,40093,4.58
MU US,MICRON TECHNOLOGY INC,62071,3.56
2330,台積電,433000,3.46
GLW US,CORNING INC,145895,2.96
BE US,BLOOM ENERGY CORP- A,109100,2.91
AMD US,ADVANCED MICRO DEVICES,71400,2.87
TER US,TERADYNE INC,58500,2.82
TSEM US,TOWER SEMICONDUCTOR LTD,118182,2.74
5706 JP,MITSUI KINZOKU CO LTD,92300,2.58
285A JP,KIOXIA HOLDINGS CORP,102900,2.57
CIEN US,CIENA CORP,42342,2.54
2383,台光電,144000,2.36
5801 JP,FURUKAWA ELECTRIC CO LTD,73200,2.27
3653,健策,110000,2.16
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,34369,2.11
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,1.98
AEHR US,AEHR TEST SYSTEMS,177400,1.96
MRVL US,MARVELL TECHNOLOGY INC,103000,1.95
WDC US,WESTERN DIGITAL CORP,41462,1.93
2368,金像電,370000,1.88
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.82
AIXA GR,AIXTRON SE,278437,1.76
2345,智邦,221000,1.73
AVGO US,BROADCOM INC,30960,1.51
3017,奇鋐,130000,1.4
CRWV US,COREWEAVE INC-CL A,109900,1.4
3037,欣興,475000,1.37
SOI FP,S.O.I.T.E.C.,89943,1.37
ORCL US,ORACLE CORP,58680,1.17
3110 JP,NITTO BOSEKI CO LTD,53700,1.06
5803 JP,FUJIKURA LTD,243500,1.06
6274,台燿,268000,1.03
000660 KP,SK HYNIX INC,10711,1.02
COHR US,COHERENT CORP,26174,1.02
3533,嘉澤,101000,0.93
GOOGL US,ALPHABET INC-CL A,23200,0.92
NVDA US,NVIDIA CORP,38250,0.92
CRWD US,CROWDSTRIKE HOLDINGS INC - A,15200,0.79
6510,精測,56000,0.74
APP US,APPLOVIN CORP-CLASS A,14160,0.73
2360,致茂,103000,0.72
ONTO US,ONTO INNOVATION INC,18000,0.64
FSLY US,FASTLY INC - CLASS A,230200,0.63
NVTS US,NAVITAS SEMICONDUCTOR CORP,305151,0.61
268A JP,RIGAKU HOLDINGS CORP,340900,0.6
5274,信驊,10000,0.6
4958,臻鼎-KY,435000,0.55
PLTR US,PALANTIR TECHNOLOGIES INC-A,33200,0.55
010120 KP,LS ELECTRIC CO LTD,29671,0.52
3529,力旺,36000,0.51
2467,志聖,249000,0.49
GFS US,GLOBALFOUNDRIES INC,68800,0.49
RKLB US,ROCKET LAB CORP,52200,0.48
2454,聯發科,50000,0.45

投資區域
名稱,比例,檔數
美國,49.93,26
台灣,25.15,17
日本,11.96,7
韓國,5.63,4
德國,1.76,1
法國,1.37,1
現金,4.2,0

