元大全球AI新經濟主動式ETF基金 (00990A) 2026/04/21

詳細基金成分
基金資產總淨值(新台幣),25780116460
基金每單位淨值(新台幣),15.08
基金在外流通單位數(單位),1710022000

股票
97.00%

資產金額
股票,25007001212
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 691504165
現金,USD$ 27464583.02
應收股利,JPY$ 63443295
應付受益權單位買回款,NTD$ -880583466

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,7.25
SNDK US,SANDISK CORP,44593,4.92
2308,台達電,628000,4.91
2330,台積電,497000,3.95
MU US,MICRON TECHNOLOGY INC,71171,3.9
TSEM US,TOWER SEMICONDUCTOR LTD,118182,3.12
BE US,BLOOM ENERGY CORP- A,109100,2.94
GLW US,CORNING INC,145895,2.94
TER US,TERADYNE INC,58500,2.71
5706 JP,MITSUI KINZOKU CO LTD,92300,2.65
CIEN US,CIENA CORP,42342,2.61
285A JP,KIOXIA HOLDINGS CORP,102900,2.58
5801 JP,FURUKAWA ELECTRIC CO LTD,73200,2.49
3653,健策,110000,2.29
2383,台光電,144000,2.21
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,34369,2.2
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,2.1
AEHR US,AEHR TEST SYSTEMS,177400,2.03
WDC US,WESTERN DIGITAL CORP,41462,1.94
MRVL US,MARVELL TECHNOLOGY INC,103000,1.9
2345,智邦,221000,1.88
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.82
AIXA GR,AIXTRON SE,278437,1.82
2368,金像電,370000,1.76
CRWV US,COREWEAVE INC-CL A,109900,1.54
AVGO US,BROADCOM INC,30960,1.52
3037,欣興,475000,1.31
SOI FP,S.O.I.T.E.C.,89943,1.3
3017,奇鋐,130000,1.29
5803 JP,FUJIKURA LTD,243500,1.1
COHR US,COHERENT CORP,26174,1.1
000660 KP,SK HYNIX INC,10711,1.09
3110 JP,NITTO BOSEKI CO LTD,53700,1.09
INTC US,INTEL CORP,132600,1.07
3533,嘉澤,101000,1.03
6274,台燿,268000,1
AMZN US,AMAZON.COM INC,32200,0.98
GOOGL US,ALPHABET INC-CL A,23200,0.94
NVDA US,NVIDIA CORP,38250,0.93
6510,精測,56000,0.89
CRWD US,CROWDSTRIKE HOLDINGS INC - A,15200,0.83
APP US,APPLOVIN CORP-CLASS A,14160,0.82
2360,致茂,103000,0.81
AMD US,ADVANCED MICRO DEVICES,23100,0.8
ORCL US,ORACLE CORP,36120,0.8
268A JP,RIGAKU HOLDINGS CORP,340900,0.72
ONTO US,ONTO INNOVATION INC,18000,0.64
3529,力旺,36000,0.61
5274,信驊,10000,0.59
PLTR US,PALANTIR TECHNOLOGIES INC-A,33200,0.59
FSLY US,FASTLY INC - CLASS A,168600,0.55
RKLB US,ROCKET LAB CORP,52200,0.55
2467,志聖,249000,0.54
4958,臻鼎-KY,435000,0.53
GFS US,GLOBALFOUNDRIES INC,68800,0.5

投資區域
名稱,比例,檔數
美國,50.44,27
台灣,25.6,16
日本,12.45,7
韓國,5.39,3
德國,1.82,1
法國,1.3,1
現金,3,0

