元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/10

詳細基金成分
基金資產總淨值(新台幣),39067773041
基金每單位淨值(新台幣),15.82
基金在外流通單位數(單位),2469022000

股票
96.45%

資產金額
股票,37681906659
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 370542756
現金,USD$ 52077108.66
應付受益權單位買回款,NTD$ -173467012

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,6.79
MSFT US,MICROSOFT CORP,113798,4.75
AMAT US,APPLIED MATERIALS INC,94706,4.08
2330,台積電,576000,3.51
MU US,MICRON TECHNOLOGY INC,46405,3.3
SNOW US,SNOWFLAKE INC,115200,3.18
BE US,BLOOM ENERGY CORP- A,173500,3.01
3037,欣興,1146000,2.91
DELL US,DELL TECHNOLOGIES -C,75300,2.84
AMD US,ADVANCED MICRO DEVICES,72879,2.82
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,36111,2.68
PANW US,PALO ALTO NETWORKS INC,84400,2.68
2454,聯發科,245000,2.48
2383,台光電,181000,2.45
TSEM US,TOWER SEMICONDUCTOR LTD,115500,2.41
285A JP,KIOXIA HOLDINGS CORP,90100,2.25
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,113500,2.25
MRVL US,MARVELL TECHNOLOGY INC,131000,2.25
SHOP US,SHOPIFY INC - CLASS A,168500,2.16
COHR US,COHERENT CORP,76979,2.06
2308,台達電,441000,2.05
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.98
DDOG US,DATADOG INC - CLASS A,90800,1.95
WDC US,WESTERN DIGITAL CORP,49262,1.78
SNDK US,SANDISK CORP,17063,1.74
5801 JP,FURUKAWA ELECTRIC CO LTD,811800,1.67
6723 JP,RENESAS ELECTRONICS CORP,837700,1.67
6981 JP,MURATA MANUFACTURING CO LTD,427700,1.63
NVDA US,NVIDIA CORP,87900,1.58
6857 JP,ADVANTEST CORP,88100,1.57
SMTC US,SEMTECH CORP,118700,1.29
6223,旺矽,75000,1.2
AXTI US,AXT INC,185020,1.13
NET US,CLOUDFLARE INC - CLASS A,41300,1.06
WDAY US,WORKDAY INC-CLASS A,68200,1.04
3711,日月光投控,641000,1.03
NOW US,SERVICENOW INC,98200,1.03
AVGO US,BROADCOM INC,29320,1.02
U US,UNITY SOFTWARE INC,285200,1.01
RBRK US,RUBRIK INC-A,122500,0.99
6274,台燿,255000,0.95
LRCX US,LAM RESEARCH CORP,37200,0.94
TER US,TERADYNE INC,30320,0.91
3665,貿聯-KY,160000,0.9
ALAB US,ASTERA LABS INC,34000,0.89
2303,聯電,2612000,0.82
2449,京元電子,1008000,0.64
PLTR US,PALANTIR TECHNOLOGIES INC-A,41926,0.61
AEHR US,AEHR TEST SYSTEMS,59400,0.52

投資區域
名稱,比例,檔數
美國,64.06,31
台灣,18.94,11
日本,8.79,5
韓國,2.68,1
德國,1.98,1
現金,3.55,0

