元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/20

詳細基金成分
基金資產總淨值(新台幣),30531577253
基金每單位淨值(新台幣),17.01
基金在外流通單位數(單位),1795022000

股票
97.19%

資產金額
股票,29675085065
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 278221312
現金,USD$ 29657538.05
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -673967814

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43733,6.31
LITE US,LUMENTUM HOLDINGS INC,60705,5.46
MU US,MICRON TECHNOLOGY INC,68671,5.21
2308,台達電,628000,3.94
285A JP,KIOXIA HOLDINGS CORP,117700,3.94
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.89
AMD US,ADVANCED MICRO DEVICES,82479,3.83
2330,台積電,531000,3.8
BE US,BLOOM ENERGY CORP- A,123500,3.62
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,3.06
WDC US,WESTERN DIGITAL CORP,52262,2.49
5706 JP,MITSUI KINZOKU CO LTD,75200,2.17
AIXA GR,AIXTRON SE,344838,2.16
GLW US,CORNING INC,112595,2.11
2383,台光電,144000,2.07
MRVL US,MARVELL TECHNOLOGY INC,103000,2
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.97
SOI FP,S.O.I.T.E.C.,102089,1.94
IFX GR,INFINEON TECHNOLOGIES AG,226389,1.86
4062 JP,IBIDEN CO LTD,181800,1.85
NVDA US,NVIDIA CORP,79350,1.84
3037,欣興,634000,1.71
2345,智邦,221000,1.7
GOOGL US,ALPHABET INC-CL A,38060,1.53
000660 KP,SK HYNIX INC,12674,1.52
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.49
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.43
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.42
CIEN US,CIENA CORP,24442,1.41
AVGO US,BROADCOM INC,30960,1.34
5347,世界,2498000,1.3
6723 JP,RENESAS ELECTRONICS CORP,555900,1.27
SMTC US,SEMTECH CORP,81700,1.2
3653,健策,110000,1.09
NOK US,NOKIA CORP-SPON ADR,762210,1.08
268A JP,RIGAKU HOLDINGS CORP,687700,1.06
6274,台燿,268000,1.06
AEHR US,AEHR TEST SYSTEMS,120400,1.03
3017,奇鋐,130000,1
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.87
INTC US,INTEL CORP,69505,0.86
WOLF US,WOLFSPEED INC,118200,0.72
2360,致茂,103000,0.7
6777 JP,SANTEC HOLDINGS CORP,37400,0.65
NBIS US,NEBIUS GROUP NV,30100,0.6
010120 KP,LS ELECTRIC CO LTD,34775,0.57
6976 JP,TAIYO YUDEN CO LTD,105000,0.54
2454,聯發科,50000,0.53
5274,信驊,10000,0.51
6981 JP,MURATA MANUFACTURING CO LTD,127300,0.51
4958,臻鼎-KY,343000,0.49
7826 JP,FURUYA METAL CO LTD,77400,0.48

投資區域
名稱,比例,檔數
美國,50.33,22
台灣,19.9,13
日本,15.86,11
韓國,5.15,3
德國,4.02,2
法國,1.94,1
現金,2.8,0

