元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/30

詳細基金成分
基金資產總淨值(新台幣),35806397911
基金每單位淨值(新台幣),14.52
基金在外流通單位數(單位),2465522000

股票
88.74%

資產金額
股票,31774169249
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 769392125
現金,USD$ 56996024.7
應收股利,NTD$ 12143721
應付受益權單位買回款,NTD$ -158229696

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,127179,5.6
LITE US,LUMENTUM HOLDINGS INC,81912,5.15
AMAT US,APPLIED MATERIALS INC,94706,4.31
MU US,MICRON TECHNOLOGY INC,46405,3.68
2330,台積電,576000,3.55
DELL US,DELL TECHNOLOGIES -C,89300,3.28
BE US,BLOOM ENERGY CORP- A,173500,3.26
IFX GR,INFINEON TECHNOLOGIES AG,509622,3.15
SNOW US,SNOWFLAKE INC,115200,3.11
WDC US,WESTERN DIGITAL CORP,63342,3.06
DDOG US,DATADOG INC - CLASS A,112200,2.73
MSFT US,MICROSOFT CORP,64758,2.65
NOW US,SERVICENOW INC,258800,2.58
PANW US,PALO ALTO NETWORKS INC,84400,2.49
2308,台達電,565000,2.41
NVDA US,NVIDIA CORP,116300,2.06
3037,欣興,1000000,2
SNDK US,SANDISK CORP,17063,1.98
SHOP US,SHOPIFY INC - CLASS A,168500,1.87
TSEM US,TOWER SEMICONDUCTOR LTD,93700,1.79
2383,台光電,144000,1.74
285A JP,KIOXIA HOLDINGS CORP,78300,1.71
MRVL US,MARVELL TECHNOLOGY INC,102000,1.7
2454,聯發科,177000,1.6
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,84300,1.54
6723 JP,RENESAS ELECTRONICS CORP,837700,1.48
WDAY US,WORKDAY INC-CLASS A,102900,1.48
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,25323,1.4
ANET US,ARISTA NETWORKS INC,85900,1.33
GOOGL US,ALPHABET INC-CL A,38440,1.16
ONTO US,ONTO INNOVATION INC,51200,1.16
SMTC US,SEMTECH CORP,103200,1.07
META US,META PLATFORMS INC-CLASS A,21000,1.03
6223,旺矽,75000,1.01
AMZN US,AMAZON.COM INC,45200,0.97
5347,世界,2498000,0.96
AVGO US,BROADCOM INC,27280,0.96
6981 JP,MURATA MANUFACTURING CO LTD,265200,0.94
3711,日月光投控,641000,0.9
6976 JP,TAIYO YUDEN CO LTD,177000,0.86
2303,聯電,2612000,0.8
8035 JP,TOKYO ELECTRON LTD,25900,0.75
2449,京元電子,1008000,0.57
ON US,ON SEMICONDUCTOR,74800,0.57
GLW US,CORNING INC,27768,0.34

投資區域
名稱,比例,檔數
美國,62.91,28
台灣,15.54,10
日本,5.74,5
德國,3.15,1
韓國,1.4,1
現金,11.26,0

