元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/13

詳細基金成分
基金資產總淨值(新台幣),42158819744
基金每單位淨值(新台幣),17.43
基金在外流通單位數(單位),2419022000

股票
95.69%

資產金額
股票,40340427165
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1730475095
現金,USD$ 7276729.55
應收股利,NTD$ 42755571
應付受益權單位買回款,NTD$ -166216284
應付申購預收款,NTD$ -14521696

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,163179,6.66
285A JP,KIOXIA HOLDINGS CORP,152400,4.82
MU US,MICRON TECHNOLOGY INC,65431,4.68
SNDK US,SANDISK CORP,36333,4.65
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,56363,3.71
AMAT US,APPLIED MATERIALS INC,83386,3.67
LITE US,LUMENTUM HOLDINGS INC,60872,3.57
6976 JP,TAIYO YUDEN CO LTD,585200,3.28
6981 JP,MURATA MANUFACTURING CO LTD,689500,2.95
WDC US,WESTERN DIGITAL CORP,63342,2.69
2454,聯發科,294000,2.67
IFX GR,INFINEON TECHNOLOGIES AG,427856,2.61
2330,台積電,450000,2.6
2308,台達電,565000,2.53
BE US,BLOOM ENERGY CORP- A,138100,2.46
3436 JP,SUMCO CORP,953500,2.31
MRVL US,MARVELL TECHNOLOGY INC,135300,2.25
4062 JP,IBIDEN CO LTD,235100,2.07
LRCX US,LAM RESEARCH CORP,80473,2.03
DELL US,DELL TECHNOLOGIES -C,60900,1.99
000660 KP,SK HYNIX INC,19980,1.88
MKSI US,MKS INC,66300,1.78
6723 JP,RENESAS ELECTRONICS CORP,837700,1.76
2383,台光電,144000,1.75
ANET US,ARISTA NETWORKS INC,124100,1.72
3037,欣興,773000,1.66
8035 JP,TOKYO ELECTRON LTD,46300,1.56
NVDA US,NVIDIA CORP,98100,1.53
PENG US,PENGUIN SOLUTIONS INC,250600,1.48
6525 JP,KOKUSAI ELECTRIC CORP,286400,1.43
7735 JP,SCREEN HOLDINGS CO LTD,147300,1.23
2303,聯電,3265000,1.19
ONTO US,ONTO INNOVATION INC,51200,1.19
6223,旺矽,75000,1.18
5347,世界,2498000,1.06
3711,日月光投控,641000,1.02
UCTT US,ULTRA CLEAN HOLDINGS INC,133684,1
6274,台燿,268000,0.99
ASML US,ASML HOLDING NV-NY REG SHS,6340,0.84
VICR US,VICOR CORP,43400,0.84
6997 JP,NIPPON CHEMI-CON CORP,479600,0.83
VECO US,VEECO INSTRUMENTS INC,173000,0.74
4958,臻鼎-KY,468000,0.72
3443,創意,69000,0.7
2449,京元電子,834000,0.61
ON US,ON SEMICONDUCTOR,74800,0.52
GLW US,CORNING INC,23068,0.32

投資區域
名稱,比例,檔數
美國,46.57,21
日本,22.24,10
台灣,18.68,13
韓國,5.59,2
德國,2.61,1
現金,4.31,0

