元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/08

詳細基金成分
基金資產總淨值(新台幣),39554687026
基金每單位淨值(新台幣),18.89
基金在外流通單位數(單位),2094022000

股票
95.75%

資產金額
股票,37875317574
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1876198018
現金,USD$ 9433289.3
應收股利,JPY$ 55393054
應付申購預收款,NTD$ -135203299

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,6.04
LITE US,LUMENTUM HOLDINGS INC,70905,5.07
SNDK US,SANDISK CORP,36813,4.83
2308,台達電,744000,4.24
285A JP,KIOXIA HOLDINGS CORP,117700,4.22
MRVL US,MARVELL TECHNOLOGY INC,172700,3.98
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,43920,3.81
AMD US,ADVANCED MICRO DEVICES,91679,3.59
2330,台積電,511000,2.96
BE US,BLOOM ENERGY CORP- A,123500,2.5
6976 JP,TAIYO YUDEN CO LTD,316000,2.36
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.34
SNOW US,SNOWFLAKE INC,111000,2.13
6787 JP,MEIKO ELECTRONICS CO LTD,118800,2.01
AIXA GR,AIXTRON SE,344838,1.79
3037,欣興,773000,1.78
2383,台光電,144000,1.74
4062 JP,IBIDEN CO LTD,200000,1.7
6981 JP,MURATA MANUFACTURING CO LTD,377400,1.64
COHR US,COHERENT CORP,49560,1.59
ORCL US,ORACLE CORP,93700,1.59
000660 KP,SK HYNIX INC,15788,1.57
5706 JP,MITSUI KINZOKU CO LTD,75200,1.55
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.53
WDC US,WESTERN DIGITAL CORP,36262,1.53
ARM US,ARM HOLDINGS PLC-ADR,52242,1.45
TSEM US,TOWER SEMICONDUCTOR LTD,73282,1.42
2454,聯發科,133000,1.37
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.29
6723 JP,RENESAS ELECTRONICS CORP,604000,1.25
WOLF US,WOLFSPEED INC,277800,1.23
SMTC US,SEMTECH CORP,96600,1.22
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.22
SOI FP,S.O.I.T.E.C.,76183,1.1
6997 JP,NIPPON CHEMI-CON CORP,479600,1.08
NOK US,NOKIA CORP-SPON ADR,901410,1.05
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,1.05
6274,台燿,268000,1.04
5347,世界,2498000,0.99
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,0.97
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,263100,0.92
CIEN US,CIENA CORP,24442,0.91
2345,智邦,139000,0.85
3017,奇鋐,130000,0.84
VICR US,VICOR CORP,37700,0.83
DIOD US,DIODES INC,95200,0.8
NVDA US,NVIDIA CORP,46650,0.78
3443,創意,60000,0.65
AEHR US,AEHR TEST SYSTEMS,85500,0.65
2360,致茂,103000,0.64
NBIS US,NEBIUS GROUP NV,34406,0.6
3665,貿聯-KY,110000,0.58
4958,臻鼎-KY,363000,0.47
5274,信驊,10000,0.44

投資區域
名稱,比例,檔數
美國,48.85,25
台灣,18.59,14
日本,17.7,10
韓國,5.38,2
德國,4.13,2
法國,1.1,1
現金,4.25,0

