元大全球AI新經濟主動式ETF基金 (00990A) 2026/04/27

詳細基金成分
基金資產總淨值(新台幣),27443302179
基金每單位淨值(新台幣),15.73
基金在外流通單位數(單位),1744522000

股票
97.08%

資產金額
股票,26642458985
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 932969943
現金,USD$ 15453200.03
應收股利,JPY$ 63443295
應付受益權單位買回款,NTD$ -224742097
應付申購預收款,NTD$ -3279414

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,7
SNDK US,SANDISK CORP,40093,4.92
2308,台達電,628000,4.62
MU US,MICRON TECHNOLOGY INC,62071,3.73
2330,台積電,433000,3.57
NVDA US,NVIDIA CORP,142250,3.53
BE US,BLOOM ENERGY CORP- A,109100,2.93
GLW US,CORNING INC,145895,2.81
TSEM US,TOWER SEMICONDUCTOR LTD,118182,2.75
AMD US,ADVANCED MICRO DEVICES,71400,2.74
TER US,TERADYNE INC,58500,2.7
285A JP,KIOXIA HOLDINGS CORP,102900,2.63
5706 JP,MITSUI KINZOKU CO LTD,92300,2.61
2383,台光電,144000,2.48
CIEN US,CIENA CORP,42342,2.46
5801 JP,FURUKAWA ELECTRIC CO LTD,73200,2.25
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,34369,2.13
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,2.03
3653,健策,110000,1.99
2368,金像電,370000,1.91
WDC US,WESTERN DIGITAL CORP,41462,1.9
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.89
MRVL US,MARVELL TECHNOLOGY INC,103000,1.87
AEHR US,AEHR TEST SYSTEMS,177400,1.8
2345,智邦,221000,1.75
AIXA GR,AIXTRON SE,278437,1.66
AVGO US,BROADCOM INC,30960,1.48
3037,欣興,475000,1.45
CRWV US,COREWEAVE INC-CL A,109900,1.41
3017,奇鋐,130000,1.34
SOI FP,S.O.I.T.E.C.,89943,1.33
ORCL US,ORACLE CORP,58680,1.16
5803 JP,FUJIKURA LTD,243500,1.11
000660 KP,SK HYNIX INC,10711,1.08
3110 JP,NITTO BOSEKI CO LTD,53700,1.06
3533,嘉澤,101000,1
6274,台燿,268000,0.97
COHR US,COHERENT CORP,26174,0.96
GOOGL US,ALPHABET INC-CL A,23200,0.93
CRWD US,CROWDSTRIKE HOLDINGS INC - A,15200,0.79
APP US,APPLOVIN CORP-CLASS A,14160,0.75
6510,精測,56000,0.73
2360,致茂,103000,0.72
268A JP,RIGAKU HOLDINGS CORP,340900,0.68
NVTS US,NAVITAS SEMICONDUCTOR CORP,305151,0.64
ONTO US,ONTO INNOVATION INC,18000,0.62
010120 KP,LS ELECTRIC CO LTD,29671,0.59
5274,信驊,10000,0.58
4958,臻鼎-KY,435000,0.57
PLTR US,PALANTIR TECHNOLOGIES INC-A,33200,0.54
3529,力旺,36000,0.53
RKLB US,ROCKET LAB CORP,52200,0.49
2467,志聖,249000,0.45
2454,聯發科,50000,0.44

投資區域
名稱,比例,檔數
美國,50.93,24
台灣,25.1,17
日本,12.23,7
韓國,5.83,4
德國,1.66,1
法國,1.33,1
現金,2.92,0

