元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/20

詳細基金成分
基金資產總淨值(新台幣),38080208889
基金每單位淨值(新台幣),15.55
基金在外流通單位數(單位),2449522000

股票
95.28%

資產金額
股票,36284549086
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 892166891
現金,USD$ 40585093.34
應付受益權單位買回款,NTD$ -500815193
應付申購預收款,NTD$ -8233912

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,7.47
MU US,MICRON TECHNOLOGY INC,80645,6.59
285A JP,KIOXIA HOLDINGS CORP,161600,4.53
SNDK US,SANDISK CORP,29303,3.93
6981 JP,MURATA MANUFACTURING CO LTD,935600,3.57
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,42083,3.54
3037,欣興,1146000,3.43
MRVL US,MARVELL TECHNOLOGY INC,159600,3.36
AMD US,ADVANCED MICRO DEVICES,85079,3.35
2383,台光電,212000,3.33
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,138000,2.68
TSEM US,TOWER SEMICONDUCTOR LTD,139700,2.62
2330,台積電,406000,2.53
BE US,BLOOM ENERGY CORP- A,144800,2.46
000660 KP,SK HYNIX INC,21113,2.15
2308,台達電,441000,2.02
AMAT US,APPLIED MATERIALS INC,47106,1.96
WDC US,WESTERN DIGITAL CORP,49262,1.94
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.81
SMTC US,SEMTECH CORP,164500,1.72
6857 JP,ADVANTEST CORP,88100,1.65
6274,台燿,376000,1.56
NOW US,SERVICENOW INC,138800,1.51
SPCX US,SPACE EXPLORATION TECHN-CL A,134300,1.51
TEAM US,ATLASSIAN CORP-CL A,101300,1.49
TER US,TERADYNE INC,46320,1.49
NTRA US,NATERA INC,54300,1.48
AMZN US,AMAZON.COM INC,66400,1.45
AXON US,AXON ENTERPRISE INC,27320,1.41
INTC US,INTEL CORP,182500,1.41
2454,聯發科,142000,1.38
6223,旺矽,90000,1.34
COHR US,COHERENT CORP,52539,1.28
AXTI US,AXT INC,187220,1.15
PANW US,PALO ALTO NETWORKS INC,35400,1.04
RBRK US,RUBRIK INC-A,122500,1
3711,日月光投控,641000,0.99
CIEN US,CIENA CORP,30197,0.99
2345,智邦,172000,0.95
8046,南電,302000,0.95
4062 JP,IBIDEN CO LTD,89700,0.91
DIOD US,DIODES INC,111900,0.85
PLTR US,PALANTIR TECHNOLOGIES INC-A,55726,0.81
2449,京元電子,1008000,0.62
AEHR US,AEHR TEST SYSTEMS,69854,0.62
CBRS US,CEREBRAS SYSTEMS INC - A,25900,0.46

投資區域
名稱,比例,檔數
美國,58.02,28
台灣,19.1,11
日本,10.66,4
韓國,5.69,2
德國,1.81,1
現金,4.72,0

