元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/05

詳細基金成分
基金資產總淨值(新台幣),30136354879
基金每單位淨值(新台幣),17.03
基金在外流通單位數(單位),1770022000

股票
96.07%

資產金額
股票,28952368497
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,EUR$ 3083838.32
現金,NTD$ 1120542385
現金,USD$ 28658997.1
應收股利,JPY$ 63443295
應付受益權單位買回款,NTD$ -135758068
應付申購預收款,NTD$ -8800948

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,7.41
SNDK US,SANDISK CORP,43813,6.46
2308,台達電,628000,4.51
MU US,MICRON TECHNOLOGY INC,62071,4.17
2330,台積電,531000,3.96
BE US,BLOOM ENERGY CORP- A,109100,3.38
TSEM US,TOWER SEMICONDUCTOR LTD,118182,2.8
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.74
AMD US,ADVANCED MICRO DEVICES,71400,2.66
WDC US,WESTERN DIGITAL CORP,52262,2.55
5706 JP,MITSUI KINZOKU CO LTD,92300,2.53
285A JP,KIOXIA HOLDINGS CORP,102900,2.5
2383,台光電,144000,2.26
CRWV US,COREWEAVE INC-CL A,162100,2.18
AIXA GR,AIXTRON SE,344838,2.16
5801 JP,FURUKAWA ELECTRIC CO LTD,73200,2.01
GOOGL US,ALPHABET INC-CL A,48100,1.96
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,1.92
GLW US,CORNING INC,112595,1.91
3037,欣興,634000,1.9
2345,智邦,221000,1.83
MRVL US,MARVELL TECHNOLOGY INC,103000,1.82
3653,健策,110000,1.74
SOI FP,S.O.I.T.E.C.,89943,1.74
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.69
TER US,TERADYNE INC,42900,1.61
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.49
CIEN US,CIENA CORP,24442,1.4
AVGO US,BROADCOM INC,30960,1.39
2368,金像電,267000,1.31
5347,世界,2498000,1.28
3017,奇鋐,130000,1.17
000660 KP,SK HYNIX INC,10711,1.1
010120 KP,LS ELECTRIC CO LTD,52680,1.1
6274,台燿,268000,1.08
3110 JP,NITTO BOSEKI CO LTD,53700,1.01
FORM US,FORMFACTOR INC,63300,0.96
5803 JP,FUJIKURA LTD,243500,0.94
NVDA US,NVIDIA CORP,45750,0.94
AEHR US,AEHR TEST SYSTEMS,95700,0.92
COHR US,COHERENT CORP,26174,0.92
INTC US,INTEL CORP,69505,0.79
2360,致茂,103000,0.76
NOK US,NOKIA CORP-SPON ADR,477710,0.67
4958,臻鼎-KY,435000,0.62
268A JP,RIGAKU HOLDINGS CORP,340900,0.61
5274,信驊,10000,0.59
ONTO US,ONTO INNOVATION INC,18000,0.58
4062 JP,IBIDEN CO LTD,61900,0.55
3529,力旺,36000,0.53
2454,聯發科,50000,0.52
RKLB US,ROCKET LAB CORP,52200,0.43

投資區域
名稱,比例,檔數
美國,49.41,23
台灣,24.06,15
日本,11.84,8
韓國,6.86,4
德國,2.16,1
法國,1.74,1
現金,3.93,0

