元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/13

詳細基金成分
基金資產總淨值(新台幣),33320170194
基金每單位淨值(新台幣),18.27
基金在外流通單位數(單位),1823522000

股票
96.47%

資產金額
股票,32143408939
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,EUR$ 2008889.83
現金,NTD$ 1120973764
現金,USD$ 17088025.65
應收股利,JPY$ 71032257
應付受益權單位買回款,NTD$ -189612675
應付申購預收款,NTD$ -26553483

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,6.92
SNDK US,SANDISK CORP,47173,6.46
MU US,MICRON TECHNOLOGY INC,68671,5.22
2308,台達電,628000,4.08
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.63
285A JP,KIOXIA HOLDINGS CORP,117700,3.56
2330,台積電,531000,3.54
AMD US,ADVANCED MICRO DEVICES,82479,3.48
5706 JP,MITSUI KINZOKU CO LTD,92300,3.04
BE US,BLOOM ENERGY CORP- A,109100,2.99
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.74
WDC US,WESTERN DIGITAL CORP,52262,2.44
GLW US,CORNING INC,112595,2.2
2383,台光電,144000,2.13
AIXA GR,AIXTRON SE,344838,1.98
4062 JP,IBIDEN CO LTD,181800,1.86
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.84
GOOGL US,ALPHABET INC-CL A,48100,1.83
SOI FP,S.O.I.T.E.C.,102089,1.76
MRVL US,MARVELL TECHNOLOGY INC,103000,1.73
3037,欣興,634000,1.7
2345,智邦,221000,1.62
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.62
000660 KP,SK HYNIX INC,12674,1.59
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.49
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.42
CIEN US,CIENA CORP,24442,1.34
5347,世界,2498000,1.26
AVGO US,BROADCOM INC,30960,1.22
6723 JP,RENESAS ELECTRONICS CORP,555900,1.19
AEHR US,AEHR TEST SYSTEMS,120400,1.18
3653,健策,110000,1.17
6274,台燿,268000,1.17
268A JP,RIGAKU HOLDINGS CORP,687700,1.16
5803 JP,FUJIKURA LTD,243500,1.15
005930 KP,SAMSUNG ELECTRONICS CO LTD,61290,1.11
ON US,ON SEMICONDUCTOR,96700,1.06
3017,奇鋐,130000,1.01
FORM US,FORMFACTOR INC,80400,0.98
010120 KP,LS ELECTRIC CO LTD,52680,0.95
3110 JP,NITTO BOSEKI CO LTD,53700,0.83
INTC US,INTEL CORP,69505,0.79
NVDA US,NVIDIA CORP,36050,0.77
2360,致茂,103000,0.74
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.73
NOK US,NOKIA CORP-SPON ADR,477710,0.66
9984 JP,SOFTBANK GROUP CORP,169800,0.61
NBIS US,NEBIUS GROUP NV,30100,0.59
5274,信驊,10000,0.53
2454,聯發科,50000,0.52
3436 JP,SUMCO CORP,222300,0.47
PENG US,PENGUIN SOLUTIONS INC,91900,0.42

投資區域
名稱,比例,檔數
美國,49.88,23
台灣,19.47,12
日本,16.98,11
韓國,6.39,4
德國,1.98,1
法國,1.76,1
現金,3.54,0

