元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/18

詳細基金成分
基金資產總淨值(新台幣),30637871638
基金每單位淨值(新台幣),16.93
基金在外流通單位數(單位),1810022000

股票
96.92%

資產金額
股票,29694017340
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 460157714
現金,USD$ 26222513.49
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -600204241
應付申購預收款,NTD$ -3096278

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,47173,6.48
LITE US,LUMENTUM HOLDINGS INC,60705,5.53
MU US,MICRON TECHNOLOGY INC,68671,4.82
2308,台達電,628000,4.14
285A JP,KIOXIA HOLDINGS CORP,117700,3.92
2330,台積電,531000,3.88
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.62
AMD US,ADVANCED MICRO DEVICES,82479,3.58
BE US,BLOOM ENERGY CORP- A,123500,3.29
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.97
5706 JP,MITSUI KINZOKU CO LTD,92300,2.83
WDC US,WESTERN DIGITAL CORP,52262,2.47
6787 JP,MEIKO ELECTRONICS CO LTD,85300,2.2
2383,台光電,144000,2.14
AIXA GR,AIXTRON SE,344838,2.08
GLW US,CORNING INC,112595,2.07
4062 JP,IBIDEN CO LTD,181800,1.84
2345,智邦,221000,1.8
MRVL US,MARVELL TECHNOLOGY INC,103000,1.79
SOI FP,S.O.I.T.E.C.,102089,1.72
3037,欣興,634000,1.69
000660 KP,SK HYNIX INC,12674,1.6
GOOGL US,ALPHABET INC-CL A,38060,1.56
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.55
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.52
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.4
IFX GR,INFINEON TECHNOLOGIES AG,176079,1.39
AVGO US,BROADCOM INC,30960,1.34
6723 JP,RENESAS ELECTRONICS CORP,555900,1.33
CIEN US,CIENA CORP,24442,1.32
5347,世界,2498000,1.3
268A JP,RIGAKU HOLDINGS CORP,687700,1.24
005930 KP,SAMSUNG ELECTRONICS CO LTD,61290,1.18
3653,健策,110000,1.17
6274,台燿,268000,1.1
ON US,ON SEMICONDUCTOR,96700,1.09
AEHR US,AEHR TEST SYSTEMS,120400,1.04
3017,奇鋐,130000,1.02
NOK US,NOKIA CORP-SPON ADR,621410,0.88
NVDA US,NVIDIA CORP,36050,0.83
INTC US,INTEL CORP,69505,0.77
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.74
2360,致茂,103000,0.73
SMTC US,SEMTECH CORP,53000,0.72
WOLF US,WOLFSPEED INC,118200,0.72
NBIS US,NEBIUS GROUP NV,30100,0.62
010120 KP,LS ELECTRIC CO LTD,34775,0.61
5803 JP,FUJIKURA LTD,160100,0.59
2454,聯發科,50000,0.55
5274,信驊,10000,0.53
6777 JP,SANTEC HOLDINGS CORP,23900,0.5
VICR US,VICOR CORP,17000,0.44
PENG US,PENGUIN SOLUTIONS INC,91900,0.43
7826 JP,FURUYA METAL CO LTD,31700,0.22

投資區域
名稱,比例,檔數
美國,49.13,25
台灣,20.05,12
日本,16.19,10
韓國,6.36,4
德國,3.47,2
法國,1.72,1
現金,3.08,0

