元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/09

詳細基金成分
基金資產總淨值(新台幣),40377023586
基金每單位淨值(新台幣),19.12
基金在外流通單位數(單位),2111522000

股票
97.16%

資產金額
股票,39229250305
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1315294719
現金,USD$ 22464889.5
應收股利,JPY$ 55393054
應付申購預收款,NTD$ -30076235

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,5.84
SNDK US,SANDISK CORP,36813,4.75
LITE US,LUMENTUM HOLDINGS INC,70905,4.57
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,43920,4.46
2308,台達電,744000,4.45
285A JP,KIOXIA HOLDINGS CORP,117700,4.4
MRVL US,MARVELL TECHNOLOGY INC,172700,3.61
AMD US,ADVANCED MICRO DEVICES,91679,3.42
6976 JP,TAIYO YUDEN CO LTD,373600,3.28
2330,台積電,511000,2.92
BE US,BLOOM ENERGY CORP- A,123500,2.51
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.29
6981 JP,MURATA MANUFACTURING CO LTD,439100,2.08
SNOW US,SNOWFLAKE INC,111000,2.08
6787 JP,MEIKO ELECTRONICS CO LTD,118800,1.99
3037,欣興,773000,1.86
4062 JP,IBIDEN CO LTD,200000,1.82
2383,台光電,144000,1.81
000660 KP,SK HYNIX INC,15788,1.8
AIXA GR,AIXTRON SE,344838,1.73
ORCL US,ORACLE CORP,93700,1.51
AMAT US,APPLIED MATERIALS INC,38160,1.49
2454,聯發科,133000,1.47
WDC US,WESTERN DIGITAL CORP,36262,1.47
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.46
5706 JP,MITSUI KINZOKU CO LTD,75200,1.45
COHR US,COHERENT CORP,49560,1.38
ARM US,ARM HOLDINGS PLC-ADR,52242,1.33
TSEM US,TOWER SEMICONDUCTOR LTD,73282,1.31
6723 JP,RENESAS ELECTRONICS CORP,604000,1.3
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.23
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.22
SMTC US,SEMTECH CORP,96600,1.19
6274,台燿,268000,1.07
6997 JP,NIPPON CHEMI-CON CORP,479600,1.07
WOLF US,WOLFSPEED INC,277800,1.06
5347,世界,2498000,1
LRCX US,LAM RESEARCH CORP,38500,0.99
NOK US,NOKIA CORP-SPON ADR,901410,0.98
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,0.97
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,0.96
2345,智邦,139000,0.85
VICR US,VICOR CORP,37700,0.84
3017,奇鋐,130000,0.82
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,263100,0.82
DIOD US,DIODES INC,95200,0.77
NVDA US,NVIDIA CORP,46650,0.76
SOI FP,S.O.I.T.E.C.,55623,0.7
3443,創意,60000,0.64
AEHR US,AEHR TEST SYSTEMS,85500,0.63
2360,致茂,103000,0.61
3665,貿聯-KY,110000,0.59
NBIS US,NEBIUS GROUP NV,34406,0.59
4958,臻鼎-KY,363000,0.49
5274,信驊,10000,0.44

投資區域
名稱,比例,檔數
美國,47.98,26
日本,19.18,10
台灣,19.02,14
韓國,6.26,2
德國,4.02,2
法國,0.7,1
現金,2.84,0

