元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/19

詳細基金成分
基金資產總淨值(新台幣),30252356871
基金每單位淨值(新台幣),16.71
基金在外流通單位數(單位),1810522000

股票
97.33%

資產金額
股票,29445611118
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 279458362
現金,USD$ 28629325.52
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -410591566

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,47173,6.83
LITE US,LUMENTUM HOLDINGS INC,60705,5.66
MU US,MICRON TECHNOLOGY INC,68671,5.02
2308,台達電,628000,3.98
2330,台積電,531000,3.87
285A JP,KIOXIA HOLDINGS CORP,117700,3.85
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.73
AMD US,ADVANCED MICRO DEVICES,82479,3.57
BE US,BLOOM ENERGY CORP- A,123500,3.38
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.87
5706 JP,MITSUI KINZOKU CO LTD,92300,2.72
WDC US,WESTERN DIGITAL CORP,52262,2.49
2383,台光電,144000,2.16
AIXA GR,AIXTRON SE,344838,2.13
6787 JP,MEIKO ELECTRONICS CO LTD,85300,2.07
GLW US,CORNING INC,112595,2.07
MRVL US,MARVELL TECHNOLOGY INC,103000,1.9
4062 JP,IBIDEN CO LTD,181800,1.83
SOI FP,S.O.I.T.E.C.,102089,1.78
2345,智邦,221000,1.75
3037,欣興,634000,1.71
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.56
000660 KP,SK HYNIX INC,12674,1.54
GOOGL US,ALPHABET INC-CL A,38060,1.54
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.42
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.41
CIEN US,CIENA CORP,24442,1.39
IFX GR,INFINEON TECHNOLOGIES AG,176079,1.39
AVGO US,BROADCOM INC,30960,1.33
NVDA US,NVIDIA CORP,57750,1.33
5347,世界,2498000,1.3
6723 JP,RENESAS ELECTRONICS CORP,555900,1.28
005930 KP,SAMSUNG ELECTRONICS CO LTD,61290,1.17
3653,健策,110000,1.12
6274,台燿,268000,1.09
NOK US,NOKIA CORP-SPON ADR,762210,1.09
ON US,ON SEMICONDUCTOR,96700,1.07
268A JP,RIGAKU HOLDINGS CORP,687700,1.03
3017,奇鋐,130000,1.03
AEHR US,AEHR TEST SYSTEMS,120400,1.02
SMTC US,SEMTECH CORP,67600,0.95
INTC US,INTEL CORP,69505,0.81
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.74
WOLF US,WOLFSPEED INC,118200,0.73
2360,致茂,103000,0.7
6777 JP,SANTEC HOLDINGS CORP,37400,0.68
NBIS US,NEBIUS GROUP NV,30100,0.62
010120 KP,LS ELECTRIC CO LTD,34775,0.59
5274,信驊,10000,0.53
2454,聯發科,50000,0.52
7826 JP,FURUYA METAL CO LTD,77400,0.52
PENG US,PENGUIN SOLUTIONS INC,91900,0.45

投資區域
名稱,比例,檔數
美國,50.7,24
台灣,19.76,12
日本,15.4,9
韓國,6.17,4
德國,3.52,2
法國,1.78,1
現金,2.67,0

