元大全球AI新經濟主動式ETF基金 (00990A) 2026/04/28

詳細基金成分
基金資產總淨值(新台幣),26828992206
基金每單位淨值(新台幣),15.4
基金在外流通單位數(單位),1742522000

股票
97.42%

資產金額
股票,26135771681
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 922260922
現金,USD$ 3113066.69
應收股利,JPY$ 63443295
應付受益權單位買回款,NTD$ -248074986

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,6.6
NVDA US,NVIDIA CORP,202650,5.08
2308,台達電,628000,4.97
SNDK US,SANDISK CORP,40093,4.72
MU US,MICRON TECHNOLOGY INC,62071,3.68
2330,台積電,433000,3.57
BE US,BLOOM ENERGY CORP- A,109100,2.9
5706 JP,MITSUI KINZOKU CO LTD,92300,2.81
285A JP,KIOXIA HOLDINGS CORP,102900,2.75
AMD US,ADVANCED MICRO DEVICES,71400,2.71
TSEM US,TOWER SEMICONDUCTOR LTD,118182,2.69
GLW US,CORNING INC,145895,2.62
TER US,TERADYNE INC,58500,2.61
CIEN US,CIENA CORP,42342,2.36
2383,台光電,144000,2.35
5801 JP,FURUKAWA ELECTRIC CO LTD,73200,2.31
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,34369,2.3
005930 KP,SAMSUNG ELECTRONICS CO LTD,115810,2.05
3653,健策,110000,2.03
6787 JP,MEIKO ELECTRONICS CO LTD,85300,2.01
GOOGL US,ALPHABET INC-CL A,48100,1.98
2368,金像電,370000,1.92
WDC US,WESTERN DIGITAL CORP,41462,1.9
2345,智邦,221000,1.89
MRVL US,MARVELL TECHNOLOGY INC,103000,1.85
AIXA GR,AIXTRON SE,278437,1.64
3037,欣興,475000,1.46
AVGO US,BROADCOM INC,30960,1.45
CRWV US,COREWEAVE INC-CL A,109900,1.36
3017,奇鋐,130000,1.35
SOI FP,S.O.I.T.E.C.,89943,1.22
ORCL US,ORACLE CORP,58680,1.14
5803 JP,FUJIKURA LTD,243500,1.13
3110 JP,NITTO BOSEKI CO LTD,53700,1.12
000660 KP,SK HYNIX INC,10711,1.11
3533,嘉澤,101000,1.01
6274,台燿,268000,0.96
COHR US,COHERENT CORP,26174,0.93
CRWD US,CROWDSTRIKE HOLDINGS INC - A,15200,0.81
2360,致茂,103000,0.79
6510,精測,56000,0.77
APP US,APPLOVIN CORP-CLASS A,14160,0.75
268A JP,RIGAKU HOLDINGS CORP,340900,0.7
4958,臻鼎-KY,435000,0.64
010120 KP,LS ELECTRIC CO LTD,29671,0.62
5274,信驊,10000,0.6
ONTO US,ONTO INNOVATION INC,18000,0.6
PLTR US,PALANTIR TECHNOLOGIES INC-A,33200,0.55
3529,力旺,36000,0.53
2467,志聖,249000,0.51
2454,聯發科,50000,0.49
RKLB US,ROCKET LAB CORP,52200,0.48

投資區域
名稱,比例,檔數
美國,49.81,22
台灣,25.84,17
日本,12.83,7
韓國,6.08,4
德國,1.64,1
法國,1.22,1
現金,2.58,0

