元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/24

詳細基金成分
基金資產總淨值(新台幣),44224840408
基金每單位淨值(新台幣),20.07
基金在外流通單位數(單位),2203022000

股票
97.21%

資產金額
股票,42991597174
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1365948914
現金,USD$ 11533950.65
應收股利,JPY$ 48458537
應收股利,NTD$ 16146994
應付受益權單位買回款,NTD$ -225337415
應付申購預收款,NTD$ -63012181

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,6
SNDK US,SANDISK CORP,43653,6
285A JP,KIOXIA HOLDINGS CORP,135900,5.58
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,48865,4.46
AMD US,ADVANCED MICRO DEVICES,112579,4.2
LITE US,LUMENTUM HOLDINGS INC,60505,3.66
6976 JP,TAIYO YUDEN CO LTD,453700,3.41
2308,台達電,744000,3.36
MRVL US,MARVELL TECHNOLOGY INC,161300,3.21
6981 JP,MURATA MANUFACTURING CO LTD,627100,3.07
WDC US,WESTERN DIGITAL CORP,63342,2.93
2454,聯發科,294000,2.85
4062 JP,IBIDEN CO LTD,235100,2.59
BE US,BLOOM ENERGY CORP- A,110600,2.59
IFX GR,INFINEON TECHNOLOGIES AG,403406,2.58
000660 KP,SK HYNIX INC,19980,2.4
AMAT US,APPLIED MATERIALS INC,49786,2.11
LRCX US,LAM RESEARCH CORP,73173,1.97
2330,台積電,363000,1.96
COHR US,COHERENT CORP,67800,1.91
2383,台光電,144000,1.81
STX US,SEAGATE TECHNOLOGY HOLDINGS,23600,1.68
STM US,STMICROELECTRONICS NV-NY SHS,319900,1.65
3037,欣興,773000,1.63
MKSI US,MKS INC,55500,1.52
ARM US,ARM HOLDINGS PLC-ADR,52242,1.35
VECO US,VEECO INSTRUMENTS INC,255500,1.31
6723 JP,RENESAS ELECTRONICS CORP,604000,1.26
6223,旺矽,75000,1.22
3436 JP,SUMCO CORP,716100,1.18
6997 JP,NIPPON CHEMI-CON CORP,479600,1.14
5347,世界,2498000,1.13
6274,台燿,268000,1.07
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.07
2303,聯電,2475000,1
VICR US,VICOR CORP,43400,1
8035 JP,TOKYO ELECTRON LTD,30000,0.93
6146 JP,DISCO CORP,26100,0.92
DIOD US,DIODES INC,111400,0.9
NOK US,NOKIA CORP-SPON ADR,901410,0.89
INTC US,INTEL CORP,82600,0.78
PENG US,PENGUIN SOLUTIONS INC,166400,0.77
3443,創意,69000,0.76
3665,貿聯-KY,144000,0.65
4958,臻鼎-KY,468000,0.62
CIEN US,CIENA CORP,18160,0.6
6920 JP,LASERTEC CORP,26300,0.59
AIXA GR,AIXTRON SE,112903,0.48
5274,信驊,10000,0.41

投資區域
名稱,比例,檔數
美國,48.15,22
日本,20.67,10
台灣,18.47,13
韓國,6.86,2
德國,3.06,2
現金,2.79,0

