元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/12

詳細基金成分
基金資產總淨值(新台幣),40506720784
基金每單位淨值(新台幣),16.41
基金在外流通單位數(單位),2468022000

股票
95.45%

資產金額
股票,38665581988
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 293222056
現金,USD$ 6184432.68
應付受益權單位買回款,NTD$ -112542526

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,7.52
MU US,MICRON TECHNOLOGY INC,67365,4.89
AMAT US,APPLIED MATERIALS INC,94706,4.13
2330,台積電,576000,3.43
COHR US,COHERENT CORP,113979,3.23
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,138000,2.95
DELL US,DELL TECHNOLOGIES -C,75300,2.9
3037,欣興,1146000,2.83
MRVL US,MARVELL TECHNOLOGY INC,159600,2.76
BE US,BLOOM ENERGY CORP- A,144800,2.73
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,36111,2.71
MSFT US,MICROSOFT CORP,65598,2.57
2383,台光電,181000,2.56
2454,聯發科,245000,2.43
TSEM US,TOWER SEMICONDUCTOR LTD,115500,2.39
AMD US,ADVANCED MICRO DEVICES,60079,2.31
285A JP,KIOXIA HOLDINGS CORP,90100,2.24
SNOW US,SNOWFLAKE INC,78900,2.09
SHOP US,SHOPIFY INC - CLASS A,168500,2.02
2308,台達電,441000,1.95
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.93
SNDK US,SANDISK CORP,17063,1.83
WDC US,WESTERN DIGITAL CORP,49262,1.78
5801 JP,FURUKAWA ELECTRIC CO LTD,811800,1.71
AXTI US,AXT INC,267320,1.67
PANW US,PALO ALTO NETWORKS INC,52800,1.63
6981 JP,MURATA MANUFACTURING CO LTD,427700,1.61
6723 JP,RENESAS ELECTRONICS CORP,837700,1.59
NVDA US,NVIDIA CORP,87900,1.57
6857 JP,ADVANTEST CORP,88100,1.52
TER US,TERADYNE INC,46320,1.49
SMTC US,SEMTECH CORP,118700,1.32
AEHR US,AEHR TEST SYSTEMS,124354,1.28
6223,旺矽,75000,1.22
6274,台燿,255000,1.01
U US,UNITY SOFTWARE INC,285200,1.01
3711,日月光投控,641000,0.98
NOW US,SERVICENOW INC,98200,0.98
AVGO US,BROADCOM INC,29320,0.97
FSLY US,FASTLY INC - CLASS A,429000,0.97
LRCX US,LAM RESEARCH CORP,37200,0.97
WDAY US,WORKDAY INC-CLASS A,68200,0.95
2345,智邦,172000,0.94
RBRK US,RUBRIK INC-A,122500,0.94
PLTR US,PALANTIR TECHNOLOGIES INC-A,55726,0.76
2449,京元電子,1008000,0.64
CIEN US,CIENA CORP,15837,0.54
2303,聯電,1606000,0.49
TEAM US,ATLASSIAN CORP-CL A,39800,0.49

投資區域
名稱,比例,檔數
美國,63.66,31
台灣,18.48,11
日本,8.67,5
韓國,2.71,1
德國,1.93,1
現金,4.55,0

