元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/04

詳細基金成分
基金資產總淨值(新台幣),39809607718
基金每單位淨值(新台幣),16.13
基金在外流通單位數(單位),2468522000

股票
93.86%

資產金額
股票,37364375365
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1224268546
現金,USD$ 27476417.66
應付受益權單位買回款,NTD$ -262657440

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,96992,6.72
AMD US,ADVANCED MICRO DEVICES,120079,5.08
MSFT US,MICROSOFT CORP,113798,4.57
AMAT US,APPLIED MATERIALS INC,94706,4.22
MU US,MICRON TECHNOLOGY INC,46405,3.38
2330,台積電,576000,3.36
BE US,BLOOM ENERGY CORP- A,173500,3.23
IFX GR,INFINEON TECHNOLOGIES AG,509622,3.08
SNOW US,SNOWFLAKE INC,115200,2.98
DELL US,DELL TECHNOLOGIES -C,75300,2.87
WDC US,WESTERN DIGITAL CORP,63342,2.83
PANW US,PALO ALTO NETWORKS INC,84400,2.52
2454,聯發科,245000,2.38
3037,欣興,1000000,2.32
2308,台達電,565000,2.3
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,113500,2.2
DDOG US,DATADOG INC - CLASS A,90800,2.13
285A JP,KIOXIA HOLDINGS CORP,78300,2.11
TSEM US,TOWER SEMICONDUCTOR LTD,107800,2.11
SNDK US,SANDISK CORP,17063,1.99
2383,台光電,144000,1.86
MRVL US,MARVELL TECHNOLOGY INC,102000,1.82
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,25323,1.71
SHOP US,SHOPIFY INC - CLASS A,168500,1.69
6723 JP,RENESAS ELECTRONICS CORP,837700,1.68
NVDA US,NVIDIA CORP,87900,1.52
NOW US,SERVICENOW INC,155800,1.5
6857 JP,ADVANTEST CORP,88100,1.41
ANET US,ARISTA NETWORKS INC,85900,1.33
AMZN US,AMAZON.COM INC,57700,1.31
GOOGL US,ALPHABET INC-CL A,38440,1.18
6223,旺矽,75000,1.11
SMTC US,SEMTECH CORP,103200,1.09
5801 JP,FURUKAWA ELECTRIC CO LTD,565600,1.04
TER US,TERADYNE INC,30320,1
6981 JP,MURATA MANUFACTURING CO LTD,265200,0.98
5347,世界,2498000,0.97
LRCX US,LAM RESEARCH CORP,37200,0.96
3711,日月光投控,641000,0.94
5706 JP,MITSUI KINZOKU CO LTD,57100,0.94
6976 JP,TAIYO YUDEN CO LTD,177000,0.94
3665,貿聯-KY,160000,0.92
AXTI US,AXT INC,171200,0.91
2303,聯電,2612000,0.78
8035 JP,TOKYO ELECTRON LTD,25900,0.76
2449,京元電子,1008000,0.62
ON US,ON SEMICONDUCTOR,74800,0.49
COHR US,COHERENT CORP,305,0.01

投資區域
名稱,比例,檔數
美國,61.65,27
台灣,17.56,11
日本,9.86,8
德國,3.08,1
韓國,1.71,1
現金,6.14,0

