元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/23

詳細基金成分
基金資產總淨值(新台幣),44265181490
基金每單位淨值(新台幣),20.24
基金在外流通單位數(單位),2187522000

股票
97.99%

資產金額
股票,43373509957
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1240380426
現金,USD$ 18834906.93
應收股利,JPY$ 48458537
應收股利,NTD$ 16146994
應付受益權單位買回款,NTD$ -474248927

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.13
MU US,MICRON TECHNOLOGY INC,79671,5.99
285A JP,KIOXIA HOLDINGS CORP,135900,5.55
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,48865,4.51
AMD US,ADVANCED MICRO DEVICES,112579,4.18
LITE US,LUMENTUM HOLDINGS INC,60505,3.58
2308,台達電,744000,3.5
6976 JP,TAIYO YUDEN CO LTD,453700,3.4
MRVL US,MARVELL TECHNOLOGY INC,161300,3.22
6981 JP,MURATA MANUFACTURING CO LTD,627100,3.05
WDC US,WESTERN DIGITAL CORP,63342,3.04
2454,聯發科,294000,3.01
IFX GR,INFINEON TECHNOLOGIES AG,403406,2.66
BE US,BLOOM ENERGY CORP- A,110600,2.55
4062 JP,IBIDEN CO LTD,235100,2.54
000660 KP,SK HYNIX INC,19980,2.37
AMAT US,APPLIED MATERIALS INC,49786,2.08
2330,台積電,363000,2.04
LRCX US,LAM RESEARCH CORP,73173,1.94
2383,台光電,144000,1.85
STX US,SEAGATE TECHNOLOGY HOLDINGS,23600,1.75
3037,欣興,773000,1.7
STM US,STMICROELECTRONICS NV-NY SHS,319900,1.66
MKSI US,MKS INC,55500,1.54
ARM US,ARM HOLDINGS PLC-ADR,52242,1.37
VECO US,VEECO INSTRUMENTS INC,255500,1.37
COHR US,COHERENT CORP,49560,1.35
6723 JP,RENESAS ELECTRONICS CORP,604000,1.27
3436 JP,SUMCO CORP,716100,1.21
6223,旺矽,75000,1.13
6997 JP,NIPPON CHEMI-CON CORP,479600,1.13
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.13
WOLF US,WOLFSPEED INC,320400,1.12
5347,世界,2498000,1.05
6274,台燿,268000,1.05
VICR US,VICOR CORP,43400,1.04
8035 JP,TOKYO ELECTRON LTD,30000,0.97
6146 JP,DISCO CORP,26100,0.96
2303,聯電,2475000,0.95
AIXA GR,AIXTRON SE,202732,0.92
DIOD US,DIODES INC,111400,0.89
NOK US,NOKIA CORP-SPON ADR,901410,0.88
INTC US,INTEL CORP,82600,0.78
3443,創意,69000,0.74
3665,貿聯-KY,144000,0.65
4958,臻鼎-KY,468000,0.62
6920 JP,LASERTEC CORP,26300,0.61
2360,致茂,103000,0.53
5274,信驊,10000,0.42

投資區域
名稱,比例,檔數
美國,47.6,21
日本,20.69,10
台灣,19.24,14
韓國,6.88,2
德國,3.58,2
現金,2.01,0

