元大全球AI新經濟主動式ETF基金 (00990A) 2026/05/14

詳細基金成分
基金資產總淨值(新台幣),33070778951
基金每單位淨值(新台幣),18.21
基金在外流通單位數(單位),1816522000

股票
97.55%

資產金額
股票,32262142531
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 895970281
現金,USD$ 9783343.31
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -426048121
應付申購預收款,NTD$ -7537476

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,70985,6.78
SNDK US,SANDISK CORP,47173,6.21
MU US,MICRON TECHNOLOGY INC,68671,5.08
2308,台達電,628000,4.09
TSEM US,TOWER SEMICONDUCTOR LTD,141682,3.79
2330,台積電,531000,3.64
AMD US,ADVANCED MICRO DEVICES,82479,3.53
285A JP,KIOXIA HOLDINGS CORP,117700,3.44
BE US,BLOOM ENERGY CORP- A,109100,3.15
5706 JP,MITSUI KINZOKU CO LTD,92300,2.82
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,41884,2.74
WDC US,WESTERN DIGITAL CORP,52262,2.44
GLW US,CORNING INC,112595,2.23
2383,台光電,144000,2.14
AIXA GR,AIXTRON SE,344838,2.09
6787 JP,MEIKO ELECTRONICS CO LTD,85300,1.99
4062 JP,IBIDEN CO LTD,181800,1.86
GOOGL US,ALPHABET INC-CL A,48100,1.84
2345,智邦,221000,1.79
MRVL US,MARVELL TECHNOLOGY INC,103000,1.79
SOI FP,S.O.I.T.E.C.,102089,1.73
3037,欣興,634000,1.69
AAOI US,APPLIED OPTOELECTRONICS INC,87100,1.69
000660 KP,SK HYNIX INC,12674,1.59
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.48
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.41
CIEN US,CIENA CORP,24442,1.38
5347,世界,2498000,1.32
AVGO US,BROADCOM INC,30960,1.3
6723 JP,RENESAS ELECTRONICS CORP,555900,1.29
AEHR US,AEHR TEST SYSTEMS,120400,1.22
6274,台燿,268000,1.18
005930 KP,SAMSUNG ELECTRONICS CO LTD,61290,1.16
268A JP,RIGAKU HOLDINGS CORP,687700,1.15
3653,健策,110000,1.12
ON US,ON SEMICONDUCTOR,96700,1.09
3017,奇鋐,130000,1
010120 KP,LS ELECTRIC CO LTD,52680,0.94
5803 JP,FUJIKURA LTD,243500,0.93
NOK US,NOKIA CORP-SPON ADR,621410,0.86
3110 JP,NITTO BOSEKI CO LTD,53700,0.85
IFX GR,INFINEON TECHNOLOGIES AG,111285,0.84
NVDA US,NVIDIA CORP,36050,0.81
WOLF US,WOLFSPEED INC,118200,0.79
NVTS US,NAVITAS SEMICONDUCTOR CORP,366200,0.78
INTC US,INTEL CORP,69505,0.77
2360,致茂,103000,0.7
NBIS US,NEBIUS GROUP NV,30100,0.63
5274,信驊,10000,0.54
2454,聯發科,50000,0.51
VICR US,VICOR CORP,17000,0.47
3436 JP,SUMCO CORP,222300,0.46
PENG US,PENGUIN SOLUTIONS INC,91900,0.43

投資區域
名稱,比例,檔數
美國,50.48,24
台灣,19.72,12
日本,16.27,10
韓國,6.43,4
德國,2.93,2
法國,1.73,1
現金,2.44,0

