元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/16

詳細基金成分
基金資產總淨值(新台幣),43794379251
基金每單位淨值(新台幣),20.34
基金在外流通單位數(單位),2153522000

股票
97.69%

資產金額
股票,42781948693
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 535916505
現金,USD$ 19864402.85
應收股利,JPY$ 51053794
應收股利,NTD$ 5508094
應付受益權單位買回款,NTD$ -330174832
應付申購預收款,NTD$ -6744486

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
SNDK US,SANDISK CORP,43653,6.27
MU US,MICRON TECHNOLOGY INC,79671,5.86
285A JP,KIOXIA HOLDINGS CORP,129500,5.52
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,46909,4.59
LITE US,LUMENTUM HOLDINGS INC,70905,4.47
6976 JP,TAIYO YUDEN CO LTD,453700,4.12
AMD US,ADVANCED MICRO DEVICES,112579,4.12
2308,台達電,744000,3.79
MRVL US,MARVELL TECHNOLOGY INC,161300,3.24
2454,聯發科,294000,3.06
6981 JP,MURATA MANUFACTURING CO LTD,569200,2.7
AMAT US,APPLIED MATERIALS INC,61746,2.53
WDC US,WESTERN DIGITAL CORP,47062,2.31
BE US,BLOOM ENERGY CORP- A,110600,2.24
IFX GR,INFINEON TECHNOLOGIES AG,326919,2.14
000660 KP,SK HYNIX INC,18426,2.1
4062 JP,IBIDEN CO LTD,200000,2.02
2330,台積電,363000,1.99
LRCX US,LAM RESEARCH CORP,73173,1.95
SNOW US,SNOWFLAKE INC,111000,1.91
3436 JP,SUMCO CORP,954000,1.78
STX US,SEAGATE TECHNOLOGY HOLDINGS,23600,1.75
3037,欣興,773000,1.73
2383,台光電,144000,1.68
ARM US,ARM HOLDINGS PLC-ADR,52242,1.49
VECO US,VEECO INSTRUMENTS INC,255500,1.39
COHR US,COHERENT CORP,49560,1.37
STM US,STMICROELECTRONICS NV-NY SHS,254800,1.37
6723 JP,RENESAS ELECTRONICS CORP,604000,1.22
VSH US,VISHAY INTERTECHNOLOGY INC,267800,1.17
SMTC US,SEMTECH CORP,96600,1.13
6223,旺矽,75000,1.1
WOLF US,WOLFSPEED INC,320400,1.04
VICR US,VICOR CORP,43400,1
6274,台燿,268000,0.99
MKSI US,MKS INC,37300,0.99
5347,世界,2498000,0.98
6997 JP,NIPPON CHEMI-CON CORP,479600,0.98
6146 JP,DISCO CORP,26100,0.96
AIXA GR,AIXTRON SE,202732,0.95
TSEM US,TOWER SEMICONDUCTOR LTD,48382,0.94
NOK US,NOKIA CORP-SPON ADR,901410,0.91
3443,創意,69000,0.78
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,355300,0.77
3665,貿聯-KY,144000,0.7
4958,臻鼎-KY,468000,0.67
2360,致茂,103000,0.55
5274,信驊,10000,0.41

投資區域
名稱,比例,檔數
美國,49.41,22
日本,20.07,9
台灣,18.43,13
韓國,6.69,2
德國,3.09,2
現金,2.31,0

