元大全球AI新經濟主動式ETF基金 (00990A) 2026/08/19

詳細基金成分
基金資產總淨值(新台幣),37619586948
基金每單位淨值(新台幣),15.38
基金在外流通單位數(單位),2445522000

股票
95.74%

資產金額
股票,36017858333
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 544784860
現金,USD$ 74978701.85
應付受益權單位買回款,NTD$ -517211407
應付申購預收款,NTD$ -25511745

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
LITE US,LUMENTUM HOLDINGS INC,101272,7.12
MU US,MICRON TECHNOLOGY INC,80645,6.42
285A JP,KIOXIA HOLDINGS CORP,161600,4.31
SNDK US,SANDISK CORP,29303,3.9
6981 JP,MURATA MANUFACTURING CO LTD,935600,3.66
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,42083,3.56
3037,欣興,1146000,3.44
AMD US,ADVANCED MICRO DEVICES,85079,3.37
MRVL US,MARVELL TECHNOLOGY INC,159600,3.22
2383,台光電,181000,2.83
COHR US,COHERENT CORP,113979,2.78
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,138000,2.75
TSEM US,TOWER SEMICONDUCTOR LTD,139700,2.69
2330,台積電,406000,2.54
BE US,BLOOM ENERGY CORP- A,144800,2.54
2454,聯發科,245000,2.5
2308,台達電,441000,2.07
AMAT US,APPLIED MATERIALS INC,47106,1.99
000660 KP,SK HYNIX INC,21113,1.93
WDC US,WESTERN DIGITAL CORP,49262,1.93
IFX GR,INFINEON TECHNOLOGIES AG,332843,1.8
DELL US,DELL TECHNOLOGIES -C,47900,1.78
SMTC US,SEMTECH CORP,164500,1.75
AXTI US,AXT INC,267320,1.67
6857 JP,ADVANTEST CORP,88100,1.65
SPCX US,SPACE EXPLORATION TECHN-CL A,134300,1.59
TER US,TERADYNE INC,46320,1.49
INTC US,INTEL CORP,182500,1.44
6223,旺矽,90000,1.26
AEHR US,AEHR TEST SYSTEMS,124354,1.14
PANW US,PALO ALTO NETWORKS INC,35400,1.08
RBRK US,RUBRIK INC-A,122500,1.04
6274,台燿,255000,1.02
CIEN US,CIENA CORP,30197,1.02
3711,日月光投控,641000,1
WOLF US,WOLFSPEED INC,401100,0.99
2345,智邦,172000,0.97
LRCX US,LAM RESEARCH CORP,37200,0.97
8046,南電,302000,0.95
NBIS US,NEBIUS GROUP NV,49800,0.95
4062 JP,IBIDEN CO LTD,89700,0.94
DIOD US,DIODES INC,111900,0.9
FSLY US,FASTLY INC - CLASS A,429000,0.86
PLTR US,PALANTIR TECHNOLOGIES INC-A,55726,0.83
2449,京元電子,1008000,0.63
CBRS US,CEREBRAS SYSTEMS INC - A,25900,0.47

投資區域
名稱,比例,檔數
美國,58.68,28
台灣,19.21,11
日本,10.56,4
韓國,5.49,2
德國,1.8,1
現金,4.26,0

