元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/07

詳細基金成分
基金資產總淨值(新台幣),42031323030
基金每單位淨值(新台幣),17.84
基金在外流通單位數(單位),2356522000

股票
94.76%

資產金額
股票,39829994520
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 2149809334
現金,USD$ 9253400.42
應收股利,NTD$ 35656200
應付受益權單位買回款,NTD$ -305011819
應付申購預收款,NTD$ -100671872

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,163179,6.44
285A JP,KIOXIA HOLDINGS CORP,152400,5.21
MU US,MICRON TECHNOLOGY INC,72471,5.2
SNDK US,SANDISK CORP,39933,4.94
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,56363,4.67
6976 JP,TAIYO YUDEN CO LTD,585200,4.52
AMAT US,APPLIED MATERIALS INC,83386,3.54
6981 JP,MURATA MANUFACTURING CO LTD,689500,3
BE US,BLOOM ENERGY CORP- A,138100,2.85
2454,聯發科,294000,2.82
LITE US,LUMENTUM HOLDINGS INC,51385,2.75
IFX GR,INFINEON TECHNOLOGIES AG,427856,2.65
2330,台積電,450000,2.61
WDC US,WESTERN DIGITAL CORP,63342,2.58
2308,台達電,565000,2.54
MRVL US,MARVELL TECHNOLOGY INC,135300,2.39
000660 KP,SK HYNIX INC,19980,2.21
4062 JP,IBIDEN CO LTD,235100,2.21
3436 JP,SUMCO CORP,953500,2.06
LRCX US,LAM RESEARCH CORP,80473,2.01
6723 JP,RENESAS ELECTRONICS CORP,837700,1.88
2383,台光電,144000,1.79
MKSI US,MKS INC,66300,1.77
3037,欣興,773000,1.54
8035 JP,TOKYO ELECTRON LTD,46300,1.52
6525 JP,KOKUSAI ELECTRIC CORP,286400,1.39
2303,聯電,3265000,1.2
7735 JP,SCREEN HOLDINGS CO LTD,147300,1.19
COHR US,COHERENT CORP,47240,1.14
6223,旺矽,75000,1.13
5347,世界,2498000,1.04
6274,台燿,268000,1
6997 JP,NIPPON CHEMI-CON CORP,479600,0.96
ONTO US,ONTO INNOVATION INC,44500,0.95
ASML US,ASML HOLDING NV-NY REG SHS,6340,0.85
VICR US,VICOR CORP,43400,0.85
INTC US,INTEL CORP,98800,0.83
UCTT US,ULTRA CLEAN HOLDINGS INC,116184,0.81
PENG US,PENGUIN SOLUTIONS INC,166400,0.8
3443,創意,69000,0.74
VECO US,VEECO INSTRUMENTS INC,173000,0.71
3711,日月光投控,455000,0.7
3665,貿聯-KY,144000,0.68
2449,京元電子,834000,0.63
4958,臻鼎-KY,468000,0.61
ON US,ON SEMICONDUCTOR,74800,0.52
GLW US,CORNING INC,23068,0.33

投資區域
名稱,比例,檔數
美國,42.27,20
日本,23.94,10
台灣,19.03,14
韓國,6.88,2
德國,2.65,1
現金,5.23,0

