元大全球AI新經濟主動式ETF基金 (00990A) 2026/07/21

詳細基金成分
基金資產總淨值(新台幣),41146258301
基金每單位淨值(新台幣),16.7
基金在外流通單位數(單位),2464022000

股票
96.09%

資產金額
股票,39536808002
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 721006587
現金,USD$ 57576245.4
應收股利,NTD$ 39504995
應付受益權單位買回款,NTD$ -118299585

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
AMD US,ADVANCED MICRO DEVICES,163179,7
LITE US,LUMENTUM HOLDINGS INC,98592,6.5
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,56363,3.94
AMAT US,APPLIED MATERIALS INC,83386,3.71
MU US,MICRON TECHNOLOGY INC,46405,3.55
2330,台積電,576000,3.37
285A JP,KIOXIA HOLDINGS CORP,102400,3.03
WDC US,WESTERN DIGITAL CORP,63342,2.74
IFX GR,INFINEON TECHNOLOGIES AG,427856,2.61
2308,台達電,565000,2.52
SNDK US,SANDISK CORP,19953,2.5
GOOGL US,ALPHABET INC-CL A,88720,2.43
6981 JP,MURATA MANUFACTURING CO LTD,552000,2.14
2454,聯發科,235000,2.1
LRCX US,LAM RESEARCH CORP,80473,2.04
MSFT US,MICROSOFT CORP,64400,2.02
3037,欣興,1000000,2.01
AMZN US,AMAZON.COM INC,102400,2
8035 JP,TOKYO ELECTRON LTD,61700,1.99
META US,META PLATFORMS INC-CLASS A,38640,1.96
BE US,BLOOM ENERGY CORP- A,107900,1.92
6976 JP,TAIYO YUDEN CO LTD,311900,1.77
7735 JP,SCREEN HOLDINGS CO LTD,207100,1.7
2383,台光電,144000,1.69
MRVL US,MARVELL TECHNOLOGY INC,102000,1.67
6723 JP,RENESAS ELECTRONICS CORP,837700,1.64
NVDA US,NVIDIA CORP,98100,1.6
CRDO US,CREDO TECHNOLOGY GROUP HOLDI,84300,1.49
ASML US,ASML HOLDING NV-NY REG SHS,10130,1.44
000660 KP,SK HYNIX INC,14366,1.41
TSEM US,TOWER SEMICONDUCTOR LTD,67700,1.34
UCTT US,ULTRA CLEAN HOLDINGS INC,159184,1.32
ONTO US,ONTO INNOVATION INC,51200,1.21
ANET US,ARISTA NETWORKS INC,85900,1.18
3436 JP,SUMCO CORP,611200,1.15
2303,聯電,3265000,1.07
6223,旺矽,75000,1.07
SNOW US,SNOWFLAKE INC,48700,1.04
MKSI US,MKS INC,36900,1
3711,日月光投控,641000,0.99
4062 JP,IBIDEN CO LTD,116200,0.98
5347,世界,2498000,0.94
AVGO US,BROADCOM INC,27280,0.83
DDOG US,DATADOG INC - CLASS A,40200,0.81
6274,台燿,268000,0.8
TXN US,TEXAS INSTRUMENTS INC,33500,0.77
6525 JP,KOKUSAI ELECTRIC CORP,173400,0.76
SMTC US,SEMTECH CORP,65600,0.71
2449,京元電子,834000,0.57
ON US,ON SEMICONDUCTOR,74800,0.54
GLW US,CORNING INC,27768,0.36
MXL US,MAXLINEAR INC,31701,0.21

投資區域
名稱,比例,檔數
美國,55.84,29
台灣,17.13,11
日本,15.16,9
韓國,5.35,2
德國,2.61,1
現金,3.91,0

