元大全球AI新經濟主動式ETF基金 (00990A) 2026/06/01

詳細基金成分
基金資產總淨值(新台幣),39416833731
基金每單位淨值(新台幣),20.22
基金在外流通單位數(單位),1949522000

股票
97.26%

資產金額
股票,38336713368
ETF,0
債券,0
期貨,0

非商品資產
項目,金額

現金,NTD$ 1834673479
現金,USD$ 26461470.85
應收股利,JPY$ 71531899
應付受益權單位買回款,NTD$ -536096630
應付申購預收款,NTD$ -30627132

基金權重-股票
商品代碼,商品名稱,商品數量,商品權重
MU US,MICRON TECHNOLOGY INC,79671,6.57
SNDK US,SANDISK CORP,36813,5.16
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,43920,4.65
2308,台達電,744000,4.57
LITE US,LUMENTUM HOLDINGS INC,63305,4.56
285A JP,KIOXIA HOLDINGS CORP,117700,4.26
AMD US,ADVANCED MICRO DEVICES,91679,3.72
2330,台積電,462000,2.76
BE US,BLOOM ENERGY CORP- A,123500,2.69
6976 JP,TAIYO YUDEN CO LTD,316000,2.53
6787 JP,MEIKO ELECTRONICS CO LTD,118800,2.29
WDC US,WESTERN DIGITAL CORP,52262,2.27
MRVL US,MARVELL TECHNOLOGY INC,125800,2.2
4062 JP,IBIDEN CO LTD,200000,2.18
IFX GR,INFINEON TECHNOLOGIES AG,288867,2.16
3037,欣興,773000,2.06
5706 JP,MITSUI KINZOKU CO LTD,75200,2.02
6981 JP,MURATA MANUFACTURING CO LTD,377400,1.98
000660 KP,SK HYNIX INC,15788,1.97
TSEM US,TOWER SEMICONDUCTOR LTD,98082,1.97
2383,台光電,144000,1.85
AIXA GR,AIXTRON SE,344838,1.78
ARM US,ARM HOLDINGS PLC-ADR,52242,1.7
GLW US,CORNING INC,112595,1.58
2454,聯發科,133000,1.54
STX US,SEAGATE TECHNOLOGY HOLDINGS,18360,1.35
ORCL US,ORACLE CORP,64800,1.28
6723 JP,RENESAS ELECTRONICS CORP,555900,1.23
SNOW US,SNOWFLAKE INC,53900,1.2
NOK US,NOKIA CORP-SPON ADR,901410,1.17
6274,台燿,268000,1.16
SMTC US,SEMTECH CORP,96600,1.15
5347,世界,2498000,1.13
5801 JP,FURUKAWA ELECTRIC CO LTD,42800,1.11
CIEN US,CIENA CORP,24442,1.11
NVTS US,NAVITAS SEMICONDUCTOR CORP,537686,1.06
SOI FP,S.O.I.T.E.C.,76183,1.04
WOLF US,WOLFSPEED INC,241500,1.02
VICR US,VICOR CORP,37700,0.99
3017,奇鋐,130000,0.92
STM US,STMICROELECTRONICS NV-NY SHS,167500,0.92
GOOGL US,ALPHABET INC-CL A,30140,0.9
2345,智邦,139000,0.89
6997 JP,NIPPON CHEMI-CON CORP,306300,0.86
NVDA US,NVIDIA CORP,46650,0.83
7220 JP,MUSASHI SEIMITSU INDUSTRY CO,174600,0.81
DIOD US,DIODES INC,95200,0.77
NBIS US,NEBIUS GROUP NV,34406,0.72
2360,致茂,103000,0.67
3443,創意,52000,0.61
4958,臻鼎-KY,363000,0.5
5274,信驊,10000,0.47
7826 JP,FURUYA METAL CO LTD,77400,0.37

投資區域
名稱,比例,檔數
美國,46.89,24
日本,19.64,11
台灣,19.13,13
韓國,6.62,2
德國,3.94,2
法國,1.04,1
現金,2.74,0

