ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00981A,20260814,115/08/14,312397779217.0,30.42,10270209000.0,official,official_file
00403A,20260814,115/08/14,179745630173.0,10.39,17296519000.0,official,official_file
00988A,20260814,115/08/13,59270706110.0,17.46,3394937000.0,official,official_file
00990A,20260814,2026/08/13,40762911310.0,16.57,2460522000.0,official,official_file
00992A,20260814,,43902134621.0,18.02,2436955000.0,official,official_file
00982A,20260814,,52694977901.0,23.34,2257436000.0,official,official_file
00991A,20260814,2026/08/14,91960591603.0,18.38,5002916000.0,official,official_file
