ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260720,115/07/20,250810228113.0,25.85,9703209000.0
00403A,20260720,115/07/20,155672249281.0,9.26,16811019000.0
00988A,20260720,115/07/17,55265920174.0,16.63,3323937000.0
00992A,20260720,,36025598168.0,14.87,2422955000.0
00982A,20260720,,46427513704.0,21.04,2206936000.0
00991A,20260720,2026/07/20,72885359040.0,16.44,4433416000.0
