Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.85,11960000,00981A
2383,台光電,8.45,4723000,00981A
2454,聯發科,6.42,4263000,00981A
2308,台達電,5.62,6572000,00981A
2345,智邦,5.29,6231000,00981A
3017,奇鋐,4.84,5191000,00981A
2327,國巨*,4.72,18313000,00981A
6669,緯穎,4.64,2437000,00981A
3037,欣興,4.6,12466000,00981A
6223,旺矽,4.52,2169000,00981A
3711,日月光投控,3.83,17948000,00981A
2303,聯電,3.6,71190000,00981A
2368,金像電,3.59,7769000,00981A
3665,貿聯-KY,3.43,4703848,00981A
8046,南電,3.21,10828000,00981A
3653,健策,2.81,2267000,00981A
5274,信驊,2.8,422000,00981A
6274,台燿,2.6,4400000,00981A
6515,穎崴,1.34,442000,00981A
6805,富世達,1.19,1761000,00981A
8210,勤誠,1.03,2167000,00981A
6510,精測,1.02,930000,00981A
3533,嘉澤,0.79,852000,00981A
2317,鴻海,0.74,7307000,00981A
2404,漢唐,0.69,1715000,00981A
2449,京元電子,0.6,5208000,00981A
3264,欣銓,0.53,6217000,00981A
6187,萬潤,0.52,1334000,00981A
6147,頎邦,0.49,4631000,00981A
4966,譜瑞-KY,0.48,1642000,00981A
5439,高技,0.47,3528000,00981A
8150,南茂,0.46,11635000,00981A
8358,金居,0.42,1980000,00981A
3008,大立光,0.4,329000,00981A
8996,高力,0.39,1034000,00981A
2382,廣達,0.3,2491000,00981A
6278,台表科,0.29,3734000,00981A
1590,亞德客-KY,0.26,530000,00981A
3443,創意,0.16,96000,00981A
6191,精成科,0.14,3988000,00981A
3376,新日興,0.12,1741000,00981A
6271,同欣電,0.06,686000,00981A
2002,中鋼,0.03,5163000,00981A
2313,華通,0.03,329000,00981A
1319,東陽,0.02,511000,00981A
2357,華碩,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
009150 KS,Samsung Electro-Mechanics co(009150 ks),5.76,63000,00988A
MU US,MICRON TECHNOLOGY INC,5.39,78500,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),4.7,122000,00988A
SNDK US,SANDISK CORP,4.64,38000,00988A
BE US,BLOOM ENERGY CORP- A,3.66,170000,00988A
2454,聯發科,3.65,350000,00988A
3037,欣興,3.64,1500000,00988A
LITE US,LUMENTUM HOLDINGS INC,3.52,55000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,3.07,175000,00988A
2383,台光電,2.97,248000,00988A
285A JP,KIOXIA HOLDINGS CORP,2.71,95000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.59,375000,00988A
4062 JP,IBIDEN CO LTD,2.53,275000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.5,110000,00988A
6997 JP,NIPPON CHEMI-CON CORP,2.45,1200000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.44,160000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.42,100000,00988A
WDC US,WESTERN DIGITAL CORP,2.25,57000,00988A
CIEN US,CIENA CORP,2.2,52000,00988A
2330,台積電,2.17,400000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,1.99,500000,00988A
5274,信驊,1.94,46000,00988A
COHR US,COHERENT INC,1.91,68000,00988A
2308,台達電,1.74,307000,00988A
6515,穎崴,1.73,80000,00988A
3711,日月光投控,1.63,1100000,00988A
AIXA GY,AIXTRON SE,1.56,305000,00988A
VSH US,VISHAY INTERTECHNOLOGY INC,1.55,400000,00988A
GLW US,CORNING INC,1.53,112500,00988A
7826 JP,FURUYA METAL CO LTD,1.5,374300,00988A
SOI FP,S.O.I.T.E.C.,1.49,90000,00988A
GEV US,GE VERNOVA INC,1.41,19000,00988A
3017,奇鋐,1.31,215000,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),1.28,44000,00988A
6223,旺矽,1.26,90000,00988A
NVDA US,NVIDIA CORP(輝達公司),1.19,75000,00988A
ENR GY,SIEMENS ENERGY AG,1.08,75000,00988A
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,0.98,450000,00988A
NOK US,NOKIA CORP-SPON ADR,0.85,750000,00988A
6274,台燿,0.84,230000,00988A
HOT GY,HOCHTIEF AG,0.83,20000,00988A
AXTI US,AXT INC,0.77,90000,00988A
ARM US,ARM HOLDINGS PLC,0.71,28518,00988A
2360,致茂,0.67,110000,00988A
7769,鴻勁,0.66,36000,00988A
6963 JP,ROHM CO LTD,0.47,200000,00988A
