ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260422,115/04/22,192524213626.0,26.8,7183209000.0
00988A,20260422,115/04/21,22022605340.0,15.9,1385437000.0
00990A,20260422,2026/04/21,25780116460.0,15.08,1710022000.0
00992A,20260422,,46819555760.0,17.02,2750455000.0
