ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00403A,20260812,2026/08/12,180703218767.66537,0.0,0.0,finmind,finmind_market_value_div_weight
00981A,20260812,2026/08/12,307156775719.38666,0.0,0.0,finmind,finmind_futures_notional_market_value+finmind_market_value_div_weight
00982A,20260812,2026/08/12,51902454641.69498,0.0,0.0,finmind,finmind_close_x_shares_div_weight
00988A,20260812,2026/08/11,56632222682.1192,0.0,0.0,finmind,finmind_market_value_div_weight
00990A,20260812,2026/08/11,39240336457.0,15.89,2469022000.0,official,official_file
00991A,20260812,2026/08/12,90728994922.0,17.91,5065916000.0,official,official_file
00992A,20260812,2026/08/12,42672552393.40254,0.0,0.0,finmind,finmind_close_x_shares_div_weight
