Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.25,10714000,00981A
2383,台光電,8.17,4505000,00981A
2345,智邦,5.87,6131000,00981A
2454,聯發科,5.28,4363000,00981A
3665,貿聯-KY,5.1,4623848,00981A
2308,台達電,5.08,6118000,00981A
8046,南電,4.84,12657000,00981A
2368,金像電,4.69,8260000,00981A
3653,健策,4.16,2267000,00981A
3017,奇鋐,4.05,3902000,00981A
6223,旺矽,3.68,1921000,00981A
3037,欣興,3.6,10386000,00981A
5274,信驊,3.23,473000,00981A
6669,緯穎,3.23,1769000,00981A
2327,國巨*,2.3,17220000,00981A
3711,日月光投控,2.21,11059000,00981A
2449,京元電子,1.75,12918000,00981A
6515,穎崴,1.53,397000,00981A
6274,台燿,1.52,3257000,00981A
2303,聯電,1.48,46374000,00981A
6805,富世達,1.33,1741000,00981A
6510,精測,1.31,930000,00981A
2317,鴻海,1.28,13977000,00981A
3189,景碩,1.08,5359000,00981A
8358,金居,0.92,5558000,00981A
3443,創意,0.9,488000,00981A
3264,欣銓,0.63,6994000,00981A
6187,萬潤,0.63,1223000,00981A
8210,勤誠,0.54,1117000,00981A
6147,頎邦,0.54,7984000,00981A
5439,高技,0.49,3178000,00981A
3661,世芯-KY,0.47,296000,00981A
8996,高力,0.43,934000,00981A
2404,漢唐,0.41,1092000,00981A
1590,亞德客-KY,0.28,510000,00981A
2313,華通,0.28,2623000,00981A
2337,旺宏,0.18,2956000,00981A
6191,精成科,0.15,3987000,00981A
2481,強茂,0.14,3653000,00981A
3376,新日興,0.13,1711000,00981A
6415,矽力*-KY,0.11,660000,00981A
4966,譜瑞-KY,0.08,376000,00981A
3217,優群,0.06,844000,00981A
2002,中鋼,0.04,5162000,00981A
1319,東陽,0.01,510000,00981A
8150,南茂,0.01,368000,00981A
2357,華碩,0.0,17000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,17000,00981A
4979,華星光,0.0,1000,00981A
5347,世界,0.0,63000,00981A
LITE US,LUMENTUM HOLDINGS INC.lite us,6.37,55000,00988A
SNDK US,SANDISK CORP,5.36,36000,00988A
BE US,BLOOM ENERGY CORP- A,4.96,145000,00988A
MU US,MICRON TECHNOLOGY INC,3.69,54000,00988A
2454,聯發科,3.39,315000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.23,44000,00988A
3037,欣興,3.06,897000,00988A
2383,台光電,3.05,171000,00988A
CIEN US,CIENA CORP,3.0,47000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.92,130000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.87,148000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),2.75,68000,00988A
6515,穎崴,2.41,60000,00988A
3017,奇鋐,2.33,215000,00988A
GLW US,CORNING INC,2.29,120700,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.24,72000,00988A
2308,台達電,2.14,257000,00988A
GEV US,GE VERNOVA INC,2.09,16400,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),2.0,44000,00988A
5274,信驊,1.97,30000,00988A
FORM US,FORMFACTOR INC,1.91,120000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,1.86,60000,00988A
WDC US,WESTERN DIGITAL CORP,1.84,35000,00988A
ENR GY,SIEMENS ENERGY AG,1.84,75000,00988A
4062 JP,IBIDEN CO LTD,1.82,180000,00988A
COHR US,COHERENT INC,1.76,45000,00988A
2330,台積電,1.76,206000,00988A
AIXA GY,AIXTRON SE,1.59,237539,00988A
7826 JP,FURUYA METAL CO LTD,1.53,280000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.5,751000,00988A
285A JP,KIOXIA HOLDINGS CORP,1.38,50000,00988A
TER US,TERADYNE INC,1.37,34295,00988A
3110 JP,NITTO BOSEKI CO LTD,1.34,63200,00988A
HOT GY,HOCHTIEF AG,1.27,20000,00988A
AVGO US,BROADCOM LTD,1.23,25000,00988A
3711,日月光投控,1.18,600000,00988A
006400 KS,Samsung SDI Co Ltd,1.02,18000,00988A
SOI FP,S.O.I.T.E.C.,0.96,45000,00988A
VIAV US,VIAVI SOLUTIONS INC,0.93,150000,00988A
5803 JP,FUJIKURA LTD,0.92,210000,00988A
6869 HK,YANGTZE OPTICAL FIBRE AND-H,0.88,260000,00988A
AXTI US,AXT INC,0.85,68000,00988A
ONTO US,ONTO INNOVATION INC,0.71,20000,00988A
NVDA US,NVIDIA CORP(輝達公司),0.71,30000,00988A
268A JP,RIGAKU HOLDINGS CORP,0.6,300000,00988A
2360,致茂,0.52,60000,00988A
6223,旺矽,0.46,24000,00988A
NBIS US,NEBIUS GROUP NV,0.42,20000,00988A
LITE US,LUMENTUM HOLDINGS INC,7.49,70985,00990A
SNDK US,SANDISK CORP,5.94,43813,00990A
2308,台達電,4.76,628000,00990A
2330,台積電,4.13,531000,00990A
MU US,MICRON TECHNOLOGY INC,3.87,62071,00990A
BE US,BLOOM ENERGY CORP- A,3.4,109100,00990A
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,2.82,41884,00990A
TSEM US,TOWER SEMICONDUCTOR LTD,2.75,118182,00990A
AMD US,ADVANCED MICRO DEVICES,2.63,71400,00990A
5706 JP,MITSUI KINZOKU CO LTD,2.61,92300,00990A
285A JP,KIOXIA HOLDINGS CORP,2.58,102900,00990A
WDC US,WESTERN DIGITAL CORP,2.5,52262,00990A
2383,台光電,2.34,144000,00990A
CRWV US,COREWEAVE INC-CL A,2.2,162100,00990A
AIXA GR,AIXTRON SE,2.09,344838,00990A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.08,73200,00990A
3653,健策,1.99,110000,00990A
GOOGL US,ALPHABET INC-CL A,1.99,48100,00990A
005930 KP,SAMSUNG ELECTRONICS CO LTD,1.98,115810,00990A
3037,欣興,1.97,634000,00990A
GLW US,CORNING INC,1.95,112595,00990A
2345,智邦,1.89,221000,00990A
MRVL US,MARVELL TECHNOLOGY INC,1.82,103000,00990A
6787 JP,MEIKO ELECTRONICS CO LTD,1.75,85300,00990A
SOI FP,S.O.I.T.E.C.,1.75,89943,00990A
TER US,TERADYNE INC,1.56,42900,00990A
STX US,SEAGATE TECHNOLOGY HOLDINGS,1.47,18360,00990A
CIEN US,CIENA CORP,1.42,24442,00990A
AVGO US,BROADCOM INC,1.39,30960,00990A
2368,金像電,1.31,267000,00990A
5347,世界,1.29,2498000,00990A
3017,奇鋐,1.28,130000,00990A
000660 KP,SK HYNIX INC,1.14,10711,00990A
010120 KP,LS ELECTRIC CO LTD,1.14,52680,00990A
3110 JP,NITTO BOSEKI CO LTD,1.04,53700,00990A
6274,台燿,1.02,268000,00990A
NVDA US,NVIDIA CORP,0.98,45750,00990A
5803 JP,FUJIKURA LTD,0.97,243500,00990A
COHR US,COHERENT CORP,0.93,26174,00990A
FORM US,FORMFACTOR INC,0.92,63300,00990A
AEHR US,AEHR TEST SYSTEMS,0.89,95700,00990A
2360,致茂,0.81,103000,00990A
INTC US,INTEL CORP,0.72,69505,00990A
NOK US,NOKIA CORP-SPON ADR,0.68,477710,00990A
4958,臻鼎-KY,0.64,435000,00990A
268A JP,RIGAKU HOLDINGS CORP,0.63,340900,00990A
5274,信驊,0.6,10000,00990A
ONTO US,ONTO INNOVATION INC,0.58,18000,00990A
4062 JP,IBIDEN CO LTD,0.57,61900,00990A
3529,力旺,0.51,36000,00990A
2454,聯發科,0.49,50000,00990A
