ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00988A,20260619,115/06/17,59439591517.0,22.33,2661437000.0
00990A,20260619,2026/06/17,44788840357.0,20.58,2176022000.0
00992A,20260619,,47024269051.0,19.07,2465955000.0
00982A,20260619,,54397843757.0,24.95,2180436000.0
