Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.87,11960000,00981A
2383,台光電,7.9,4486000,00981A
2454,聯發科,7.62,4861000,00981A
2327,國巨*,7.45,22792000,00981A
2345,智邦,5.49,6334000,00981A
6223,旺矽,5.05,2279000,00981A
2308,台達電,5.04,6572000,00981A
3017,奇鋐,4.23,5191000,00981A
3037,欣興,4.21,12466000,00981A
6669,緯穎,4.18,2492000,00981A
2368,金像電,3.85,8315000,00981A
2303,聯電,3.75,77390000,00981A
3711,日月光投控,3.65,17948000,00981A
3665,貿聯-KY,3.52,4833848,00981A
8046,南電,3.36,10828000,00981A
3653,健策,2.95,2267000,00981A
6274,台燿,2.64,4763000,00981A
5274,信驊,2.64,422000,00981A
6515,穎崴,1.51,442000,00981A
6510,精測,1.12,930000,00981A
6805,富世達,1.07,1811000,00981A
8210,勤誠,1.05,2267000,00981A
2317,鴻海,0.68,7307000,00981A
3533,嘉澤,0.67,852000,00981A
6187,萬潤,0.52,1334000,00981A
8996,高力,0.49,1034000,00981A
6147,頎邦,0.46,5875000,00981A
3443,創意,0.44,258000,00981A
5439,高技,0.39,3528000,00981A
8150,南茂,0.38,11635000,00981A
4966,譜瑞-KY,0.37,1642000,00981A
2449,京元電子,0.35,3645000,00981A
6278,台表科,0.31,4334000,00981A
4958,臻鼎-KY,0.31,1428000,00981A
1590,亞德客-KY,0.24,530000,00981A
8358,金居,0.21,980000,00981A
6191,精成科,0.14,3988000,00981A
6488,環球晶,0.13,350000,00981A
3376,新日興,0.12,1741000,00981A
6271,同欣電,0.11,1466000,00981A
2002,中鋼,0.03,5163000,00981A
2313,華通,0.03,329000,00981A
3264,欣銓,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
3008,大立光,0.0,1000,00981A
2382,廣達,0.0,1000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
2330,台積電,19.14,14200000,00403A
2303,聯電,5.73,72400000,00403A
2327,國巨*,5.28,9900000,00403A
3037,欣興,4.94,8960000,00403A
3017,奇鋐,4.33,3250000,00403A
2344,華邦電,4.2,38000000,00403A
2383,台光電,3.88,1350000,00403A
2368,金像電,3.55,4700000,00403A
2454,聯發科,3.28,1280000,00403A
6223,旺矽,3.26,900000,00403A
2308,台達電,3.04,2430000,00403A
2345,智邦,2.97,2100000,00403A
4958,臻鼎-KY,2.26,6440000,00403A
6669,緯穎,2.16,790000,00403A
3711,日月光投控,2.06,6200000,00403A
3653,健策,1.76,830000,00403A
3533,嘉澤,1.6,1240000,00403A
