ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260610,115/06/10,272492145311.0,29.78,9150209000.0
00403A,20260610,115/06/10,172624126087.0,10.02,17231019000.0
00988A,20260610,115/06/09,53014072426.0,20.66,2565437000.0
00990A,20260610,2026/06/09,40377023586.0,19.12,2111522000.0
00992A,20260610,,44848805729.0,17.47,2566955000.0
00982A,20260610,,49564581028.0,22.54,2199436000.0
00991A,20260610,2026/06/10,56532200959.99999,18.56,3045916000.0
