ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260518,115/05/18,256090924598.0,28.18,9088209000.0
00988A,20260518,115/05/15,36501558365.0,18.81,1940437000.0
00990A,20260518,2026/05/15,31536764077.0,17.43,1809022000.0
00992A,20260518,,50029293563.0,17.35,2882955000.0
00982A,20260518,,52125966615.0,22.53,2313436000.0
00991A,20260518,2026/05/18,46110521600.0,17.6,2619916000.0
