ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00403A,20260602,115/06/02,191408327724.0,10.76,17797019000.0
00981A,20260602,115/06/02,285479673064.0,31.3,9120209000.0
00982A,20260602,,53196359891.0,23.87,2228936000.0
00988A,20260602,115/06/01,50269615443.0,21.96,2288937000.0
00990A,20260602,2026/06/01,39416833731.0,20.22,1949522000.0
00991A,20260602,2026/06/02,59080740160.00001,19.76,2989916000.0
00992A,20260602,,49006856810.0,18.19,2694455000.0
