ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260423,115/04/23,199665627940.0,26.51,7532709000.0
00988A,20260423,115/04/22,23156323873.0,16.49,1404437000.0
00990A,20260423,2026/04/22,26512765833.0,15.47,1713522000.0
00992A,20260423,,47808157575.0,16.64,2872455000.0
