Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.86,11657000,00981A
2383,台光電,8.66,4723000,00981A
2345,智邦,6.21,6231000,00981A
2454,聯發科,5.41,4263000,00981A
2308,台達電,5.28,6572000,00981A
6223,旺矽,5.08,2169000,00981A
3017,奇鋐,4.69,4925000,00981A
6669,緯穎,4.65,2294000,00981A
8046,南電,4.0,12658000,00981A
3665,貿聯-KY,3.94,4703848,00981A
2368,金像電,3.74,7018000,00981A
3037,欣興,3.55,10822000,00981A
5274,信驊,3.21,483000,00981A
2327,國巨*,3.15,18313000,00981A
3711,日月光投控,3.06,14998000,00981A
3653,健策,2.84,2267000,00981A
6274,台燿,2.24,4151000,00981A
2303,聯電,1.87,46374000,00981A
6515,穎崴,1.74,442000,00981A
6510,精測,1.44,930000,00981A
2449,京元電子,1.43,12919000,00981A
6805,富世達,1.17,1761000,00981A
3443,創意,1.17,618000,00981A
8210,勤誠,1.07,1967000,00981A
3264,欣銓,0.77,9030000,00981A
2404,漢唐,0.55,1394000,00981A
5439,高技,0.54,3528000,00981A
6187,萬潤,0.52,1224000,00981A
2357,華碩,0.51,1996000,00981A
8996,高力,0.41,1034000,00981A
3008,大立光,0.38,329000,00981A
2313,華通,0.38,4124000,00981A
8150,南茂,0.35,11334000,00981A
8358,金居,0.32,1980000,00981A
4966,譜瑞-KY,0.32,1036000,00981A
1590,亞德客-KY,0.29,530000,00981A
6278,台表科,0.21,2500000,00981A
6415,矽力*-KY,0.18,940000,00981A
3661,世芯-KY,0.16,89000,00981A
2481,強茂,0.16,3654000,00981A
6191,精成科,0.14,3988000,00981A
3376,新日興,0.13,1741000,00981A
3036,文曄,0.12,1200000,00981A
3217,優群,0.06,874000,00981A
2002,中鋼,0.04,5163000,00981A
1319,東陽,0.02,511000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
2337,旺宏,0.0,8000,00981A
6147,頎邦,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
LITE US,LUMENTUM HOLDINGS INC,5.07,55000,00988A
MU US,MICRON TECHNOLOGY INC,5.03,70000,00988A
SNDK US,SANDISK CORP,4.92,38000,00988A
BE US,BLOOM ENERGY CORP- A,4.02,155000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.71,93000,00988A
2454,聯發科,3.12,315000,00988A
2383,台光電,3.03,217000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),2.92,47000,00988A
GLW US,CORNING INC,2.77,150000,00988A
CIEN US,CIENA CORP,2.69,52000,00988A
4062 JP,IBIDEN CO LTD,2.66,275000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.49,80000,00988A
