ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260629,115/06/29,278526281551.0,29.91,9312709000.0
00403A,20260629,115/06/29,166679439086.0,10.59,15744519000.0
00988A,20260629,115/06/26,60183036258.0,21.42,2809937000.0
00990A,20260629,2026/06/26,44271112568.0,19.87,2228522000.0
00992A,20260629,,42283465759.0,17.81,2373955000.0
00982A,20260629,,51278918960.0,23.66,2167436000.0
00991A,20260629,2026/06/29,66838501080.0,19.63,3404916000.0
