ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260529,115/05/29,286037131363.0,31.37,9118209000.0
00988A,20260529,115/05/28,42260675809.0,21.13,1999937000.0
00990A,20260529,2026/05/28,37757853965.0,19.47,1939522000.0
00992A,20260529,,51376997525.0,18.42,2788455000.0
00982A,20260529,,55068945862.0,24.32,2263936000.0
00991A,20260529,2026/05/29,57896877760.0,19.61,2952416000.0
