ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00981A,20260820,115/08/20,287544965248.0,29.34,9801709000.0,official,official_file
00403A,20260820,115/08/20,171080499160.0,10.08,16973519000.0,official,official_file
00988A,20260820,115/08/19,54956185726.0,16.4,3350437000.0,official,official_file
00990A,20260820,2026/08/19,37619586948.0,15.38,2445522000.0,official,official_file
00992A,20260820,,42669375843.0,17.82,2393955000.0,official,official_file
00982A,20260820,,49504926572.0,21.74,2276936000.0,official,official_file
00991A,20260820,2026/08/20,86954480865.0,17.98,4836916000.0,official,official_file
