Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,10.2,11657000,00981A
2383,台光電,8.38,4723000,00981A
2345,智邦,6.07,6231000,00981A
2454,聯發科,5.66,4263000,00981A
6223,旺矽,5.2,2169000,00981A
2308,台達電,5.18,6572000,00981A
3017,奇鋐,4.63,4925000,00981A
6669,緯穎,4.56,2294000,00981A
8046,南電,3.91,12658000,00981A
3665,貿聯-KY,3.72,4703848,00981A
2327,國巨*,3.58,18313000,00981A
3037,欣興,3.45,10822000,00981A
2368,金像電,3.43,7018000,00981A
5274,信驊,3.05,483000,00981A
3711,日月光投控,2.99,14998000,00981A
3653,健策,2.89,2267000,00981A
2303,聯電,2.74,63190000,00981A
6274,台燿,2.04,4151000,00981A
6515,穎崴,1.77,442000,00981A
2449,京元電子,1.49,12919000,00981A
6510,精測,1.35,930000,00981A
6805,富世達,1.19,1761000,00981A
8210,勤誠,1.06,1967000,00981A
3264,欣銓,0.81,9030000,00981A
2404,漢唐,0.55,1394000,00981A
6187,萬潤,0.54,1224000,00981A
5439,高技,0.52,3528000,00981A
2357,華碩,0.42,1703000,00981A
8996,高力,0.42,1034000,00981A
3008,大立光,0.42,329000,00981A
2313,華通,0.42,4124000,00981A
8150,南茂,0.36,11334000,00981A
8358,金居,0.33,1980000,00981A
6278,台表科,0.31,3734000,00981A
4966,譜瑞-KY,0.31,1036000,00981A
1590,亞德客-KY,0.3,530000,00981A
6415,矽力*-KY,0.21,1038000,00981A
3443,創意,0.2,107000,00981A
2481,強茂,0.18,3654000,00981A
6191,精成科,0.14,3988000,00981A
3376,新日興,0.14,1741000,00981A
3036,文曄,0.12,1200000,00981A
3217,優群,0.06,874000,00981A
2002,中鋼,0.04,5163000,00981A
1319,東陽,0.02,511000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
6147,頎邦,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
MU US,MICRON TECHNOLOGY INC,4.82,77000,00988A
SNDK US,SANDISK CORP,4.62,38000,00988A
LITE US,LUMENTUM HOLDINGS INC,4.61,55000,00988A
BE US,BLOOM ENERGY CORP- A,4.05,170000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),4.03,110000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),2.98,50000,00988A
2454,聯發科,2.81,315000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.76,140000,00988A
2383,台光電,2.74,217000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.67,90000,00988A
CIEN US,CIENA CORP,2.49,52000,00988A
GLW US,CORNING INC,2.49,150000,00988A
2330,台積電,2.48,400000,00988A
3037,欣興,2.45,1090000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.42,95000,00988A
WDC US,WESTERN DIGITAL CORP,2.37,57000,00988A
4062 JP,IBIDEN CO LTD,2.35,275000,00988A
285A JP,KIOXIA HOLDINGS CORP,2.3,95000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.26,148000,00988A
COHR US,COHERENT INC,2.25,68000,00988A
5274,信驊,2.17,46000,00988A
6515,穎崴,2.14,80000,00988A
7826 JP,FURUYA METAL CO LTD,2.06,374300,00988A
2308,台達電,1.75,307000,00988A
GEV US,GE VERNOVA INC,1.72,19000,00988A
3711,日月光投控,1.65,1100000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.63,1000000,00988A
AIXA GY,AIXTRON SE,1.59,305000,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),1.51,44000,00988A
NVDA US,NVIDIA CORP(輝達公司),1.46,75000,00988A
6223,旺矽,1.45,90000,00988A
3017,奇鋐,1.45,215000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,1.31,200000,00988A
AAOI US,APPLIED OPTOELECTRONICS INC,1.31,79677,00988A
ENR GY,SIEMENS ENERGY AG,1.28,75000,00988A
HOT GY,HOCHTIEF AG,1.03,20000,00988A
AXTI US,AXT INC,0.96,90000,00988A
AVGO US,BROADCOM LTD,0.92,25000,00988A
NOK US,NOKIA CORP-SPON ADR,0.9,750000,00988A
SOI FP,S.O.I.T.E.C.,0.89,60000,00988A
6274,台燿,0.82,230000,00988A
603256 CH,GRACE FABRIC TECHNOLOGY CO-A,0.77,450000,00988A
2360,致茂,0.68,110000,00988A
