Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.62,11359000,00981A
2383,台光電,8.38,4605000,00981A
2345,智邦,5.85,6231000,00981A
2454,聯發科,5.6,4463000,00981A
2308,台達電,5.49,6572000,00981A
3665,貿聯-KY,4.8,4703848,00981A
8046,南電,4.4,12658000,00981A
2368,金像電,4.39,8260000,00981A
3017,奇鋐,3.61,4082000,00981A
6223,旺矽,3.55,1922000,00981A
3037,欣興,3.41,10387000,00981A
6669,緯穎,3.26,1819000,00981A
3653,健策,3.22,2267000,00981A
5274,信驊,3.17,483000,00981A
3711,日月光投控,2.74,13833000,00981A
2327,國巨*,2.35,17221000,00981A
6274,台燿,2.2,4151000,00981A
2303,聯電,1.64,46374000,00981A
2449,京元電子,1.61,12919000,00981A
3443,創意,1.53,764000,00981A
6515,穎崴,1.53,422000,00981A
2317,鴻海,1.32,14177000,00981A
6510,精測,1.27,930000,00981A
6805,富世達,1.24,1761000,00981A
3189,景碩,0.97,5360000,00981A
8358,金居,0.96,5558000,00981A
3264,欣銓,0.82,9030000,00981A
8210,勤誠,0.73,1540000,00981A
6147,頎邦,0.56,7985000,00981A
3661,世芯-KY,0.52,296000,00981A
6187,萬潤,0.51,1224000,00981A
5439,高技,0.48,3228000,00981A
2357,華碩,0.47,1996000,00981A
8996,高力,0.41,1034000,00981A
8150,南茂,0.41,11334000,00981A
2404,漢唐,0.4,1093000,00981A
1590,亞德客-KY,0.29,530000,00981A
2313,華通,0.24,2624000,00981A
6191,精成科,0.15,3988000,00981A
3376,新日興,0.14,1741000,00981A
2481,強茂,0.14,3654000,00981A
6415,矽力*-KY,0.1,660000,00981A
4966,譜瑞-KY,0.09,386000,00981A
3217,優群,0.06,874000,00981A
2002,中鋼,0.04,5163000,00981A
1319,東陽,0.01,511000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
2337,旺宏,0.0,8000,00981A
5347,世界,0.0,63000,00981A
SNDK US,SANDISK CORP,5.84,38000,00988A
LITE US,LUMENTUM HOLDINGS INC,5.66,55000,00988A
MU US,MICRON TECHNOLOGY INC,4.72,65000,00988A
BE US,BLOOM ENERGY CORP- A,4.51,145000,00988A
2454,聯發科,3.74,315000,00988A
2383,台光電,3.72,217000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.12,68000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.09,44000,00988A
CIEN US,CIENA CORP,2.95,47000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.78,148000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.69,130000,00988A
3037,欣興,2.66,897000,00988A
WDC US,WESTERN DIGITAL CORP,2.63,50000,00988A
GLW US,CORNING INC,2.39,120700,00988A
6515,穎崴,2.35,67000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.07,72000,00988A
GEV US,GE VERNOVA INC,2.0,16400,00988A
2308,台達電,1.97,257000,00988A
AIXA GY,AIXTRON SE,1.95,305000,00988A
FORM US,FORMFACTOR INC,1.95,120000,00988A
5274,信驊,1.94,30000,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),1.91,44000,00988A
3017,奇鋐,1.81,215000,00988A
ENR GY,SIEMENS ENERGY AG,1.78,75000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,1.72,60000,00988A
COHR US,COHERENT INC,1.69,45000,00988A
4062 JP,IBIDEN CO LTD,1.68,180000,00988A
2330,台積電,1.6,206000,00988A
3711,日月光投控,1.54,850000,00988A
7826 JP,FURUYA METAL CO LTD,1.41,280000,00988A
HOT GY,HOCHTIEF AG,1.4,20000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.39,751000,00988A
285A JP,KIOXIA HOLDINGS CORP,1.27,50000,00988A
AAOI US,APPLIED OPTOELECTRONICS INC,1.26,65000,00988A
3110 JP,NITTO BOSEKI CO LTD,1.24,63200,00988A
AVGO US,BROADCOM LTD,1.16,25000,00988A
TER US,TERADYNE INC,1.0,24000,00988A
006400 KS,Samsung SDI Co Ltd,0.95,18000,00988A
VIAV US,VIAVI SOLUTIONS INC,0.87,150000,00988A
5803 JP,FUJIKURA LTD,0.85,210000,00988A
SOI FP,S.O.I.T.E.C.,0.84,45000,00988A
AXTI US,AXT INC,0.78,68000,00988A
6869 HK,YANGTZE OPTICAL FIBRE AND-H,0.78,260000,00988A
NVDA US,NVIDIA CORP(輝達公司),0.68,30000,00988A
268A JP,RIGAKU HOLDINGS CORP,0.56,300000,00988A
2360,致茂,0.49,60000,00988A
NBIS US,NEBIUS GROUP NV,0.42,20000,00988A
6223,旺矽,0.41,24000,00988A
LITE US,LUMENTUM HOLDINGS INC,6.84,70985,00990A
SNDK US,SANDISK CORP,6.79,47173,00990A
2308,台達電,4.5,628000,00990A
MU US,MICRON TECHNOLOGY INC,4.22,62071,00990A
2330,台積電,3.88,531000,00990A
BE US,BLOOM ENERGY CORP- A,3.18,109100,00990A
AMD US,ADVANCED MICRO DEVICES,3.07,71400,00990A
009150 KP,SAMSUNG ELECTRO-MECHANICS CO,2.69,41884,00990A
CRWV US,COREWEAVE INC-CL A,2.65,188300,00990A
TSEM US,TOWER SEMICONDUCTOR LTD,2.62,118182,00990A
WDC US,WESTERN DIGITAL CORP,2.58,52262,00990A
5706 JP,MITSUI KINZOKU CO LTD,2.48,92300,00990A
285A JP,KIOXIA HOLDINGS CORP,2.45,102900,00990A
2383,台光電,2.31,144000,00990A
005930 KP,SAMSUNG ELECTRONICS CO LTD,2.17,115810,00990A
GLW US,CORNING INC,2.09,112595,00990A
AIXA GR,AIXTRON SE,2.06,344838,00990A
5801 JP,FURUKAWA ELECTRIC CO LTD,1.98,73200,00990A
GOOGL US,ALPHABET INC-CL A,1.95,48100,00990A
MRVL US,MARVELL TECHNOLOGY INC,1.81,103000,00990A
2345,智邦,1.78,221000,00990A
3037,欣興,1.76,634000,00990A
6787 JP,MEIKO ELECTRONICS CO LTD,1.66,85300,00990A
SOI FP,S.O.I.T.E.C.,1.58,89943,00990A
3653,健策,1.54,110000,00990A
STX US,SEAGATE TECHNOLOGY HOLDINGS,1.47,18360,00990A
CIEN US,CIENA CORP,1.44,24442,00990A
AAOI US,APPLIED OPTOELECTRONICS INC,1.39,76000,00990A
5347,世界,1.37,2498000,00990A
AVGO US,BROADCOM INC,1.34,30960,00990A
2368,金像電,1.25,267000,00990A
000660 KP,SK HYNIX INC,1.21,10711,00990A
010120 KP,LS ELECTRIC CO LTD,1.17,52680,00990A
6274,台燿,1.14,268000,00990A
ARM US,ARM HOLDINGS PLC-ADR,1.09,45000,00990A
TER US,TERADYNE INC,1.05,26900,00990A
3017,奇鋐,1.03,130000,00990A
3110 JP,NITTO BOSEKI CO LTD,0.99,53700,00990A
FORM US,FORMFACTOR INC,0.96,63300,00990A
AEHR US,AEHR TEST SYSTEMS,0.95,95700,00990A
5803 JP,FUJIKURA LTD,0.93,243500,00990A
COHR US,COHERENT CORP,0.92,26174,00990A
INTC US,INTEL CORP,0.8,69505,00990A
2360,致茂,0.78,103000,00990A
NVDA US,NVIDIA CORP,0.76,36050,00990A
NOK US,NOKIA CORP-SPON ADR,0.64,477710,00990A
5274,信驊,0.61,10000,00990A
268A JP,RIGAKU HOLDINGS CORP,0.6,340900,00990A
2454,聯發科,0.56,50000,00990A
4062 JP,IBIDEN CO LTD,0.54,61900,00990A
3529,力旺,0.51,36000,00990A
2330,台積電,7.84,1761000,00992A
2383,台光電,5.13,537000,00992A
6669,緯穎,4.37,465000,00992A
3037,欣興,3.97,2302000,00992A
3443,創意,3.78,360000,00992A
3661,世芯-KY,3.63,393000,00992A
3665,貿聯-KY,3.57,667000,00992A
2345,智邦,3.53,716000,00992A
8996,高力,3.5,1689000,00992A
3105,穩懋,3.31,3433000,00992A
8299,群聯,3.27,711000,00992A
6442,光聖,3.17,785000,00992A
6510,精測,3.03,422000,00992A
6515,穎崴,2.87,151000,00992A
6223,旺矽,2.8,289000,00992A
3533,嘉澤,2.57,468000,00992A
2059,川湖,2.41,258000,00992A
3017,奇鋐,2.33,501000,00992A
2360,致茂,2.18,487000,00992A
7769,鴻勁,2.18,194000,00992A
8046,南電,2.02,1108000,00992A
3081,聯亞,1.95,380000,00992A
3163,波若威,1.93,923000,00992A
2368,金像電,1.87,669000,00992A
6584,南俊國際,1.83,1337000,00992A
2408,南亞科,1.81,3280000,00992A
6274,台燿,1.77,636000,00992A
7751,竑騰,1.61,388000,00992A
2308,台達電,1.57,357000,00992A
5274,信驊,1.55,45000,00992A
3653,健策,1.47,197000,00992A
2455,全新,1.27,1927000,00992A
6531,愛普*,1.25,703000,00992A
2454,聯發科,1.19,180000,00992A
3131,弘塑,0.93,154000,00992A
4991,環宇-KY,0.92,692000,00992A
3036,文曄,0.5,1177000,00992A
3189,景碩,0.46,486013,00992A
5289,宜鼎,0.43,142000,00992A
2337,旺宏,0.4,1271000,00992A
3260,威剛,0.35,393000,00992A
3711,日月光投控,0.33,320000,00992A
3324,雙鴻,0.31,151000,00992A
3491,昇達科,0.3,97000,00992A
2344,華邦電,0.2,893000,00992A
3583,辛耘,0.05,33000,00992A
2330,台積電,8.43,1692000,00982A
5536,聖暉*,6.5,3502000,00982A
6669,緯穎,5.4,513000,00982A
2383,台光電,5.34,499000,00982A
3105,穩懋,4.44,4118000,00982A
3264,欣銓,4.43,8268000,00982A
2345,智邦,4.31,781000,00982A
2454,聯發科,4.23,573000,00982A
2360,致茂,3.94,785000,00982A
6139,亞翔,3.86,2483000,00982A
2308,台達電,3.69,751000,00982A
6257,矽格,3.16,6886000,00982A
6223,旺矽,3.12,288000,00982A
6147,頎邦,2.89,6969000,00982A
4958,臻鼎-KY,2.55,2770000,00982A
6488,環球晶,2.09,1223000,00982A
1785,光洋科,1.99,5000000,00982A
3491,昇達科,1.97,563000,00982A
6285,啟碁,1.8,3260000,00982A
3017,奇鋐,1.68,322000,00982A
2303,聯電,1.65,7947000,00982A
2467,志聖,1.56,1303000,00982A
3583,辛耘,1.52,882000,00982A
6805,富世達,1.35,325000,00982A
3533,嘉澤,1.2,196000,00982A
2059,川湖,1.16,111000,00982A
3030,德律,1.06,1176000,00982A
6510,精測,1.01,126000,00982A
5289,宜鼎,0.97,285000,00982A
6274,台燿,0.93,297000,00982A
8996,高力,0.9,389000,00982A
2404,漢唐,0.83,384000,00982A
2347,聯強,0.73,4026000,00982A
3211,順達,0.69,831000,00982A
3131,弘塑,0.64,95000,00982A
2313,華通,0.61,1126000,00982A
2472,立隆電,0.57,1315000,00982A
