ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260706,115/07/06,284815044970.0,31.12,9150709000.0
00403A,20260706,115/07/06,168935713406.0,10.9,15500019000.0
00988A,20260706,115/07/03,60417540631.0,21.02,2874937000.0
00990A,20260706,2026/07/02,43764040291.0,19.08,2294022000.0
00992A,20260706,,43416222330.0,18.53,2342455000.0
00982A,20260706,,54250259535.0,25.26,2147936000.0
00991A,20260706,2026/07/06,73827412520.0,19.97,3696916000.0
