Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,8.99,10039000,00981A
2383,台光電,8.28,4425000,00981A
2345,智邦,5.95,6031000,00981A
3665,貿聯-KY,5.3,4583848,00981A
2308,台達電,5.26,6024000,00981A
2454,聯發科,4.93,4363000,00981A
8046,南電,4.9,12637000,00981A
3653,健策,4.73,2267000,00981A
2368,金像電,4.67,8240000,00981A
3017,奇鋐,4.43,3902000,00981A
6223,旺矽,3.83,1886000,00981A
3037,欣興,3.67,10226000,00981A
6669,緯穎,3.35,1754000,00981A
5274,信驊,3.16,458000,00981A
2327,國巨*,2.29,16954000,00981A
3711,日月光投控,2.24,10859000,00981A
6805,富世達,1.83,2099000,00981A
2449,京元電子,1.66,12719000,00981A
6515,穎崴,1.65,391000,00981A
6510,精測,1.38,930000,00981A
6274,台燿,1.32,3019000,00981A
2303,聯電,1.28,40054000,00981A
3661,世芯-KY,1.23,738000,00981A
3189,景碩,1.12,5358000,00981A
2317,鴻海,0.96,10727000,00981A
8358,金居,0.88,5558000,00981A
6187,萬潤,0.64,1222000,00981A
6147,頎邦,0.56,7884000,00981A
8210,勤誠,0.51,1117000,00981A
3443,創意,0.5,271000,00981A
5439,高技,0.48,3130000,00981A
8996,高力,0.45,914000,00981A
2404,漢唐,0.42,1091000,00981A
3264,欣銓,0.41,4897000,00981A
1590,亞德客-KY,0.29,500000,00981A
2313,華通,0.27,2543000,00981A
2337,旺宏,0.18,2910000,00981A
6191,精成科,0.15,3986000,00981A
3376,新日興,0.14,1681000,00981A
2481,強茂,0.14,3652000,00981A
6415,矽力*-KY,0.11,660000,00981A
4966,譜瑞-KY,0.08,371000,00981A
3217,優群,0.06,830000,00981A
2002,中鋼,0.04,5161000,00981A
1319,東陽,0.02,509000,00981A
2357,華碩,0.0,16000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,16000,00981A
4979,華星光,0.0,1000,00981A
5347,世界,0.0,62000,00981A
LITE US,LUMENTUM HOLDINGS INC.lite us,6.05,53000,00988A
BE US,BLOOM ENERGY CORP- A,5.2,145000,00988A
SNDK US,SANDISK CORP,4.77,34400,00988A
2454,聯發科,3.28,315000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,3.24,130000,00988A
3037,欣興,3.16,897000,00988A
CIEN US,CIENA CORP,3.14,47000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.12,44000,00988A
2383,台光電,3.1,171000,00988A
MRVL US,MARVELL TECHNOLOGY INC,3.09,148000,00988A
MU US,MICRON TECHNOLOGY INC,3.07,47000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.05,68000,00988A
GLW US,CORNING INC,2.51,120700,00988A
6515,穎崴,2.49,60000,00988A
3017,奇鋐,2.43,215000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.4,72000,00988A
GEV US,GE VERNOVA INC,2.25,16400,00988A
2308,台達電,2.22,257000,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),2.14,44000,00988A
FORM US,FORMFACTOR INC,2.06,120000,00988A
ENR GY,SIEMENS ENERGY AG,2.0,75000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.0,60000,00988A
5274,信驊,1.97,30000,00988A
WDC US,WESTERN DIGITAL CORP,1.92,35000,00988A
4062 JP,IBIDEN CO LTD,1.91,180000,00988A
COHR US,COHERENT INC,1.82,45000,00988A
2330,台積電,1.76,206000,00988A
7826 JP,FURUYA METAL CO LTD,1.62,280000,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.57,751000,00988A
TER US,TERADYNE INC,1.49,34295,00988A
285A JP,KIOXIA HOLDINGS CORP,1.48,50000,00988A
3110 JP,NITTO BOSEKI CO LTD,1.42,63200,00988A
HOT GY,HOCHTIEF AG,1.35,20000,00988A
AIXA GY,AIXTRON SE,1.34,192539,00988A
AVGO US,BROADCOM LTD,1.32,25000,00988A
3711,日月光投控,1.14,600000,00988A
006400 KS,Samsung SDI Co Ltd,1.08,18000,00988A
VIAV US,VIAVI SOLUTIONS INC,0.99,150000,00988A
5803 JP,FUJIKURA LTD,0.99,210000,00988A
6869 HK,YANGTZE OPTICAL FIBRE AND-H,0.84,260000,00988A
SOI FP,S.O.I.T.E.C.,0.84,45000,00988A
NVDA US,NVIDIA CORP(輝達公司),0.76,30000,00988A
ONTO US,ONTO INNOVATION INC,0.75,20000,00988A
AXTI US,AXT INC,0.68,68000,00988A
268A JP,RIGAKU HOLDINGS CORP,0.64,300000,00988A
2360,致茂,0.51,60000,00988A
NBIS US,NEBIUS GROUP NV,0.35,20000,00988A
LITE US,LUMENTUM HOLDINGS INC,7.2,70985,00990A
SNDK US,SANDISK CORP,4.94,40093,00990A
2308,台達電,4.82,628000,00990A
NVDA US,NVIDIA CORP,4.54,202650,00990A
MU US,MICRON TECHNOLOGY INC,3.61,62071,00990A
BE US,BLOOM ENERGY CORP- A,3.47,109100,00990A
2330,台積電,3.28,433000,00990A
TSEM US,TOWER SEMICONDUCTOR LTD,2.94,118182,00990A
AMD US,ADVANCED MICRO DEVICES,2.84,71400,00990A
5706 JP,MITSUI KINZOKU CO LTD,2.74,92300,00990A
