ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00981A,20260821,115/08/21,281782282257.0,28.75,9801709000.0,official,official_file
00403A,20260821,115/08/21,168957073808.0,9.95,16973519000.0,official,official_file
00988A,20260821,115/08/20,55462331376.0,16.54,3352937000.0,official,official_file
00990A,20260821,2026/08/20,38080208889.0,15.55,2449522000.0,official,official_file
00982A,20260821,,48767091691.0,21.41,2277936000.0,official,official_file
00991A,20260821,2026/08/21,84749544740.0,17.61,4813916000.0,official,official_file
