ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260724,115/07/24,267315766498.0,27.45,9737709000.0
00403A,20260724,115/07/24,162078376536.0,9.59,16902019000.0
00988A,20260724,115/07/23,59566776420.0,17.74,3357437000.0
00990A,20260724,2026/07/23,41462488919.0,16.76,2473522000.0
00992A,20260724,,37873157074.0,15.61,2425455000.0
00982A,20260724,,50332910185.0,22.85,2202436000.0
00991A,20260724,2026/07/24,73925718240.0,16.39,4510416000.0
