ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260731,115/07/31,287996551357.0,25.87,11134209000.0
00403A,20260731,115/07/31,166633462643.0,9.11,18282519000.0
00988A,20260731,115/07/30,50574042298.0,14.91,3391437000.0
00990A,20260731,2026/07/30,35806397911.0,14.52,2465522000.0
00992A,20260731,,37898940619.0,14.72,2575455000.0
00982A,20260731,,46525677073.0,20.17,2306436000.0
00991A,20260731,2026/07/31,86472727320.0,15.27,5662916000.0
