ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00981A,20260818,115/08/18,297502534453.0,29.76,9997709000.0,official,official_file
00403A,20260818,115/08/18,173592725021.0,10.21,17002019000.0,official,official_file
00988A,20260818,115/08/17,60703408202.0,17.93,3385437000.0,official,official_file
00990A,20260818,2026/08/17,41864136160.0,17.08,2451022000.0,official,official_file
00992A,20260818,,43688893343.0,17.99,2428455000.0,official,official_file
00982A,20260818,,50064327791.0,22.12,2263436000.0,official,official_file
00991A,20260818,2026/08/18,89801893354.0,18.21,4930416000.0,official,official_file
