ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260622,115/06/22,300179846772.0,32.28,9299709000.0
00403A,20260622,115/06/22,178538021515.0,11.36,15714019000.0
00988A,20260622,115/06/18,62075425196.0,23.19,2676437000.0
00990A,20260622,2026/06/18,46737343199.0,21.4,2184022000.0
00992A,20260622,,47659038770.0,19.43,2452455000.0
00982A,20260622,,55377421398.0,25.42,2178436000.0
00991A,20260622,2026/06/22,67329342560.0,21.16,3181916000.0
