Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.68,11657000,00981A
2383,台光電,8.49,4605000,00981A
2345,智邦,5.68,6231000,00981A
2454,聯發科,5.57,4263000,00981A
2308,台達電,5.32,6572000,00981A
6669,緯穎,4.79,2294000,00981A
3017,奇鋐,4.65,4813000,00981A
6223,旺矽,4.64,2169000,00981A
3665,貿聯-KY,4.4,4703848,00981A
8046,南電,4.17,12658000,00981A
3037,欣興,3.61,10822000,00981A
2368,金像電,3.54,7018000,00981A
5274,信驊,3.22,483000,00981A
3711,日月光投控,3.07,14998000,00981A
3653,健策,2.99,2267000,00981A
2327,國巨*,2.88,18313000,00981A
6274,台燿,2.25,4151000,00981A
2303,聯電,1.71,46374000,00981A
6515,穎崴,1.63,442000,00981A
3443,創意,1.52,764000,00981A
2449,京元電子,1.47,12919000,00981A
6510,精測,1.31,930000,00981A
6805,富世達,1.21,1761000,00981A
8210,勤誠,1.12,1967000,00981A
3264,欣銓,0.78,9030000,00981A
6187,萬潤,0.56,1224000,00981A
2404,漢唐,0.53,1394000,00981A
2357,華碩,0.5,1996000,00981A
5439,高技,0.45,3228000,00981A
8996,高力,0.4,1034000,00981A
2313,華通,0.37,4124000,00981A
8150,南茂,0.36,11334000,00981A
8358,金居,0.34,1980000,00981A
4966,譜瑞-KY,0.31,1036000,00981A
1590,亞德客-KY,0.29,530000,00981A
3008,大立光,0.17,159000,00981A
2481,強茂,0.17,3654000,00981A
3661,世芯-KY,0.16,89000,00981A
6415,矽力*-KY,0.16,940000,00981A
6191,精成科,0.14,3988000,00981A
3036,文曄,0.13,1200000,00981A
3376,新日興,0.13,1741000,00981A
3217,優群,0.06,874000,00981A
2002,中鋼,0.04,5163000,00981A
1319,東陽,0.02,511000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
2337,旺宏,0.0,8000,00981A
6147,頎邦,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
SNDK US,SANDISK CORP,5.23,38000,00988A
LITE US,LUMENTUM HOLDINGS INC,5.18,55000,00988A
MU US,MICRON TECHNOLOGY INC,4.73,65000,00988A
BE US,BLOOM ENERGY CORP- A,3.86,145000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.61,85000,00988A
2454,聯發科,3.51,315000,00988A
2383,台光電,3.2,217000,00988A
CIEN US,CIENA CORP,2.85,52000,00988A
GLW US,CORNING INC,2.82,150000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),2.78,47000,00988A
4062 JP,IBIDEN CO LTD,2.74,275000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.45,80000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.41,130000,00988A
3037,欣興,2.36,897000,00988A
WDC US,WESTERN DIGITAL CORP,2.32,50000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.31,148000,00988A
285A JP,KIOXIA HOLDINGS CORP,2.22,80000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.19,72000,00988A
2308,台達電,2.03,307000,00988A
6515,穎崴,2.0,67000,00988A
GEV US,GE VERNOVA INC,1.93,19000,00988A
5803 JP,FUJIKURA LTD,1.84,400000,00988A
2330,台積電,1.83,270000,00988A
7826 JP,FURUYA METAL CO LTD,1.76,346400,00988A
6997 JP,NIPPON CHEMI-CON CORP,1.71,888000,00988A
3017,奇鋐,1.63,215000,00988A
FORM US,FORMFACTOR INC,1.63,130000,00988A
5274,信驊,1.62,30000,00988A
GOOGL US,ALPHABET INC-CL A(Alphabet公司),1.62,44000,00988A
COHR US,COHERENT INC,1.6,45000,00988A
AIXA GY,AIXTRON SE,1.58,305000,00988A
ENR GY,SIEMENS ENERGY AG,1.42,75000,00988A
3711,日月光投控,1.42,850000,00988A
AAOI US,APPLIED OPTOELECTRONICS INC,1.25,70000,00988A
HOT GY,HOCHTIEF AG,1.12,20000,00988A
3110 JP,NITTO BOSEKI CO LTD,1.1,63200,00988A
6274,台燿,1.0,230000,00988A
6223,旺矽,0.99,60000,00988A
AVGO US,BROADCOM LTD,0.99,25000,00988A
6869 HK,YANGTZE OPTICAL FIBRE AND-H,0.85,260000,00988A
TER US,TERADYNE INC,0.82,24000,00988A
2360,致茂,0.81,110000,00988A
AXTI US,AXT INC,0.79,68000,00988A
VIAV US,VIAVI SOLUTIONS INC,0.76,150000,00988A
