Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,10.28,11657000,00981A
2383,台光電,8.57,4723000,00981A
2345,智邦,5.96,6231000,00981A
2454,聯發科,5.38,4263000,00981A
2308,台達電,5.04,6572000,00981A
6223,旺矽,4.97,2169000,00981A
3017,奇鋐,4.71,4925000,00981A
6669,緯穎,4.49,2294000,00981A
8046,南電,4.04,12658000,00981A
3665,貿聯-KY,3.75,4703848,00981A
2327,國巨*,3.64,18313000,00981A
2368,金像電,3.61,7018000,00981A
3037,欣興,3.54,10822000,00981A
2303,聯電,2.99,66190000,00981A
3711,日月光投控,2.83,14998000,00981A
3653,健策,2.8,2267000,00981A
5274,信驊,2.69,422000,00981A
6274,台燿,2.03,4151000,00981A
6515,穎崴,1.68,442000,00981A
2449,京元電子,1.49,12919000,00981A
6510,精測,1.29,930000,00981A
6805,富世達,1.25,1761000,00981A
8210,勤誠,1.04,1967000,00981A
3264,欣銓,0.67,7772000,00981A
2404,漢唐,0.57,1394000,00981A
6187,萬潤,0.55,1224000,00981A
5439,高技,0.54,3528000,00981A
3008,大立光,0.44,329000,00981A
8996,高力,0.43,1034000,00981A
2357,華碩,0.42,1622000,00981A
2313,華通,0.42,4124000,00981A
8150,南茂,0.35,11334000,00981A
8358,金居,0.34,1980000,00981A
6278,台表科,0.32,3734000,00981A
1590,亞德客-KY,0.3,530000,00981A
4966,譜瑞-KY,0.3,1036000,00981A
3533,嘉澤,0.24,260000,00981A
6415,矽力*-KY,0.2,1038000,00981A
2481,強茂,0.2,3654000,00981A
3443,創意,0.17,96000,00981A
6191,精成科,0.15,3988000,00981A
3376,新日興,0.14,1741000,00981A
3036,文曄,0.13,1200000,00981A
3217,優群,0.07,874000,00981A
2002,中鋼,0.04,5163000,00981A
1319,東陽,0.02,511000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
6147,頎邦,0.0,1000,00981A
2317,鴻海,0.0,1000,00981A
5347,世界,0.0,1000,00981A
MU US,MICRON TECHNOLOGY INC,4.48,77000,00988A
SNDK US,SANDISK CORP,4.32,38000,00988A
LITE US,LUMENTUM HOLDINGS INC,4.16,55000,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),3.95,110000,00988A
BE US,BLOOM ENERGY CORP- A,3.75,170000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,3.53,165000,00988A
009150 KS,Samsung Electro-Mechanics co(009150 ks),3.39,57000,00988A
2383,台光電,3.05,248000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.95,100000,00988A
2454,聯發科,2.9,315000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.8,110000,00988A
285A JP,KIOXIA HOLDINGS CORP,2.63,95000,00988A
2330,台積電,2.42,400000,00988A
3037,欣興,2.41,1090000,00988A
CIEN US,CIENA CORP,2.33,52000,00988A
4062 JP,IBIDEN CO LTD,2.31,275000,00988A
GLW US,CORNING INC,2.29,150000,00988A
WDC US,WESTERN DIGITAL CORP,2.23,57000,00988A
6515,穎崴,2.22,80000,00988A
7826 JP,FURUYA METAL CO LTD,2.16,374300,00988A
