ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260707,115/07/07,270991830510.0,29.6,9153709000.0
00403A,20260707,115/07/07,160692206912.0,10.37,15500019000.0
00988A,20260707,115/07/06,62173026641.0,20.6,3017437000.0
00990A,20260707,2026/07/06,44415177979.0,19.09,2326522000.0
00992A,20260707,,41468972501.0,17.67,2347455000.0
00982A,20260707,,51750012576.0,24.09,2147936000.0
00991A,20260707,2026/07/07,71448615680.0,18.98,3764416000.0
