ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260603,115/06/03,290919033926.0,31.97,9100209000.0
00403A,20260603,115/06/03,191556719484.0,10.87,17615519000.0
00988A,20260603,115/06/02,52081834526.0,22.16,2350437000.0
00990A,20260603,2026/06/02,40524604929.0,20.63,1964522000.0
00992A,20260603,,49619174696.0,18.61,2665955000.0
00991A,20260603,2026/06/03,59888017480.0,20.03,2989916000.0
