ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260506,115/05/06,269664027344.0,29.27,9211709000.0
00988A,20260506,115/05/05,27947822496.0,18.23,1532937000.0
00990A,20260506,2026/05/05,30136354879.0,17.03,1770022000.0
00992A,20260506,,51768033718.0,18.0,2876455000.0
00982A,20260506,,44609339638.0,22.24,2005936000.0
00991A,20260506,2026/05/06,41440562440.0,17.59,2355916000.0
