ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260527,115/05/27,290447804921.0,31.89,9106709000.0
00988A,20260527,115/05/26,42484682254.0,21.24,1999937000.0
00990A,20260527,2026/05/26,36032171456.0,19.5,1847522000.0
00992A,20260527,,53619925765.0,18.85,2844455000.0
00982A,20260527,,55596637480.0,24.56,2263936000.0
00991A,20260527,2026/05/27,52930534440.0,19.59,2701916000.0
