Stock_Code,Stock_Name,Weight,Shares,ETF,Holding_Source
1303,南亞,0.73,7000000,00403A,finmind
1560,中砂,0.6,1500000,00403A,finmind
1717,長興,0.11,2500000,00403A,finmind
2049,上銀,0.21,1010000,00403A,finmind
2303,聯電,5.37,79000000,00403A,finmind
2308,台達電,3.01,3040000,00403A,finmind
2317,鴻海,0.48,3200000,00403A,finmind
2327,國巨,3.0,9000000,00403A,finmind
2330,台積電,16.94,12680000,00403A,finmind
2337,旺宏,0.57,7498000,00403A,finmind
2344,華邦電,4.14,42300000,00403A,finmind
2345,智邦,2.83,2307000,00403A,finmind
2360,致茂,1.09,897000,00403A,finmind
2383,台光電,5.18,1635000,00403A,finmind
2404,漢唐,0.16,250000,00403A,finmind
2454,聯發科,4.44,2000000,00403A,finmind
2455,全新,0.07,336000,00403A,finmind
2481,強茂,0.08,1100000,00403A,finmind
3008,大立光,1.17,462000,00403A,finmind
3017,奇鋐,5.66,3515000,00403A,finmind
3037,欣興,4.68,8460000,00403A,finmind
3189,景碩,2.02,4250000,00403A,finmind
3211,順達,0.46,2000000,00403A,finmind
3264,欣銓,0.08,700000,00403A,finmind
3443,創意,1.45,510000,00403A,finmind
3450,聯鈞,0.45,1600000,00403A,finmind
3533,嘉澤,1.38,1240000,00403A,finmind
3583,辛耘,0.37,900000,00403A,finmind
3653,健策,1.98,800000,00403A,finmind
3665,貿聯-KY,1.43,1200000,00403A,finmind
3711,日月光投控,2.75,8000000,00403A,finmind
4958,臻鼎-KY,0.13,500000,00403A,finmind
4966,譜瑞-KY,0.16,500000,00403A,finmind
5274,信驊,2.06,214500,00403A,finmind
5347,世界,0.0,1000,00403A,finmind
6196,帆宣,0.0,1000,00403A,finmind
6223,旺矽,3.87,1060000,00403A,finmind
6239,力成,0.83,5360000,00403A,finmind
6274,台燿,1.49,1680000,00403A,finmind
6285,啟碁,0.05,350000,00403A,finmind
6415,矽力*-KY,0.04,150000,00403A,finmind
6442,光聖,0.2,225000,00403A,finmind
6488,環球晶,1.37,2646000,00403A,finmind
6669,緯穎,1.67,500000,00403A,finmind
6805,富世達,0.71,700000,00403A,finmind
7769,鴻勁,0.47,130000,00403A,finmind
8046,南電,1.26,1795000,00403A,finmind
8299,群聯,0.0,1000,00403A,finmind
8358,金居,0.21,900000,00403A,finmind
8996,高力,1.04,1600000,00403A,finmind
1590,亞德客-KY,0.0,1000,00981A,finmind
2002,中鋼,0.03,5163000,00981A,finmind
2303,聯電,3.51,87718000,00981A,finmind
2308,台達電,4.12,7070000,00981A,finmind
2313,華通,0.0,1000,00981A,finmind
2317,鴻海,0.0,1000,00981A,finmind
2327,國巨,4.99,25437000,00981A,finmind
2330,台積電,9.54,12134000,00981A,finmind
2345,智邦,4.63,6419000,00981A,finmind
