ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260424,115/04/24,212076376428.0,27.64,7672209000.0
00988A,20260424,115/04/23,22987429104.0,16.31,1409437000.0
00990A,20260424,2026/04/23,26343000584.0,15.29,1723022000.0
00992A,20260424,,48550452697.0,16.9,2872455000.0
00982A,20260424,,38855229625.0,20.86,1862436000.0
00991A,20260424,2026/04/24,33664155839.999996,16.24,2072916000.0
