Stock_Code,Stock_Name,Weight,Shares,ETF
2330,台積電,9.71,11960000,00981A
2383,台光電,7.84,4486000,00981A
2454,聯發科,6.7,4263000,00981A
2308,台達電,5.48,6572000,00981A
2345,智邦,5.39,6231000,00981A
3017,奇鋐,4.99,5191000,00981A
2327,國巨*,4.99,18313000,00981A
6669,緯穎,4.63,2437000,00981A
3037,欣興,4.51,12466000,00981A
6223,旺矽,4.25,2169000,00981A
3711,日月光投控,3.72,17948000,00981A
2303,聯電,3.61,71690000,00981A
2368,金像電,3.55,7769000,00981A
3665,貿聯-KY,3.44,4703848,00981A
8046,南電,3.38,10828000,00981A
3653,健策,3.0,2267000,00981A
5274,信驊,2.69,422000,00981A
6274,台燿,2.59,4400000,00981A
6515,穎崴,1.33,442000,00981A
6805,富世達,1.29,1761000,00981A
6510,精測,1.06,930000,00981A
8210,勤誠,1.05,2167000,00981A
3533,嘉澤,0.79,852000,00981A
2317,鴻海,0.74,7307000,00981A
2404,漢唐,0.69,1715000,00981A
6147,頎邦,0.57,5775000,00981A
2449,京元電子,0.57,5208000,00981A
2382,廣達,0.52,4025000,00981A
6187,萬潤,0.49,1334000,00981A
4966,譜瑞-KY,0.49,1642000,00981A
8358,金居,0.46,1980000,00981A
5439,高技,0.46,3528000,00981A
3008,大立光,0.44,329000,00981A
8150,南茂,0.43,11635000,00981A
8996,高力,0.37,1034000,00981A
6278,台表科,0.28,3734000,00981A
3443,創意,0.27,167000,00981A
1590,亞德客-KY,0.25,530000,00981A
3264,欣銓,0.16,2117000,00981A
6191,精成科,0.13,3988000,00981A
3376,新日興,0.13,1741000,00981A
6271,同欣電,0.06,686000,00981A
2002,中鋼,0.03,5163000,00981A
2313,華通,0.03,329000,00981A
1319,東陽,0.02,511000,00981A
2357,華碩,0.0,1000,00981A
3661,世芯-KY,0.0,1000,00981A
1815,富喬,0.0,107000,00981A
2439,美律,0.0,18000,00981A
5347,世界,0.0,1000,00981A
2481,強茂,0.0,5000,00981A
009150 KS,Samsung Electro-Mechanics co(009150 ks),5.81,63000,00988A
MU US,MICRON TECHNOLOGY INC,5.39,85500,00988A
AMD US,ADVANCED MICRO DEVICES.amd us(超微半導體公司),4.86,145000,00988A
SNDK US,SANDISK CORP,4.18,38000,00988A
3037,欣興,3.28,1500000,00988A
BE US,BLOOM ENERGY CORP- A,3.14,170000,00988A
2454,聯發科,3.12,350000,00988A
LITE US,LUMENTUM HOLDINGS INC,3.05,55000,00988A
2383,台光電,3.05,288000,00988A
IFX GY,INFINEON TECHNOLOGIES AG,2.91,475000,00988A
6787 JP,MEIKO ELECTRONICS CO LTD,2.75,175000,00988A
MRVL US,MARVELL TECHNOLOGY INC,2.66,200000,00988A
4062 JP,IBIDEN CO LTD,2.58,275000,00988A
6981 JP,MURATA MANUFACTURING CO LTD,2.55,650000,00988A
285A JP,KIOXIA HOLDINGS CORP,2.55,95000,00988A
6997 JP,NIPPON CHEMI-CON CORP,2.48,1200000,00988A
5706 JP,Mitsui Mining ＆ Smelting Co,2.31,110000,00988A
5801 JP,FURUKAWA ELECTRIC CO LTD,2.12,100000,00988A
WDC US,WESTERN DIGITAL CORP,1.96,57000,00988A
CIEN US,CIENA CORP,1.96,52000,00988A
2330,台積電,1.95,400000,00988A
5274,信驊,1.81,46000,00988A
VSH US,VISHAY INTERTECHNOLOGY INC,1.76,520000,00988A
COHR US,COHERENT INC,1.59,68000,00988A
2308,台達電,1.55,307000,00988A
6515,穎崴,1.44,80000,00988A
3711,日月光投控,1.39,1100000,00988A
7826 JP,FURUYA METAL CO LTD,1.34,374300,00988A
AIXA GY,AIXTRON SE,1.34,305000,00988A
GLW US,CORNING INC,1.32,112500,00988A
SOI FP,S.O.I.T.E.C.,1.21,90000,00988A
3017,奇鋐,1.19,215000,00988A
