ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260715,115/07/15,274230437387.0,29.3,9359209000.0
00403A,20260715,115/07/15,164543343594.0,10.43,15783519000.0
00988A,20260715,115/07/14,60551244925.0,18.66,3245437000.0
00990A,20260715,2026/07/14,42710421374.0,17.62,2424022000.0
00992A,20260715,,41496317825.0,17.47,2374955000.0
00982A,20260715,,51068718985.0,23.67,2157436000.0
00991A,20260715,2026/07/15,78541217280.0,19.08,4116416000.0
