ETF,File_Date,Data_Date,Net_Asset,NAV,Units,Holding_Source,Net_Asset_Method
00981A,20260819,115/08/19,286053153039.0,29.21,9792709000.0,official,official_file
00403A,20260819,115/08/19,170269619756.0,10.03,16973519000.0,official,official_file
00988A,20260819,115/08/18,56698000215.0,16.96,3343437000.0,official,official_file
00990A,20260819,2026/08/18,39025093439.0,16.01,2438022000.0,official,official_file
00992A,20260819,,42409717778.0,17.72,2393955000.0,official,official_file
00982A,20260819,,49337861148.0,21.68,2275436000.0,official,official_file
00991A,20260819,2026/08/19,86502513092.0,17.79,4863416000.0,official,official_file
