ETF,File_Date,Data_Date,Net_Asset,NAV,Units
00981A,20260605,115/06/05,279911351465.0,30.76,9100209000.0
00403A,20260605,115/06/05,182540485961.0,10.46,17448019000.0
00988A,20260605,115/06/04,55059693445.0,21.82,2522937000.0
00990A,20260605,2026/06/04,41318964981.0,20.36,2029522000.0
00992A,20260605,,46854948152.0,18.02,2600455000.0
00982A,20260605,,52780777605.0,23.81,2216936000.0
00991A,20260605,2026/06/05,58011187200.0,19.2,3021416000.0
