資料日期,2026/08/12
檔案標籤日,2026/08/12
持股來源,finmind
FinMind資料集,TaiwanStockActiveETFHolding
FinMind查詢ETF,00982A
基金資產淨值,51902454641.694977
淨資產估算方式,finmind_close_x_shares_div_weight

股票代號,股票名稱,持股權重,股數
2330,台積電,8.347600,1794000
2454,聯發科,6.745600,872000
5536,聖暉,6.507200,3679000
6139,亞翔,6.289400,4025000
6669,緯穎,5.920300,510000
2059,川湖,4.293400,185000
6223,旺矽,3.903900,307000
2383,台光電,3.610100,327000
2360,致茂,3.539800,837000
2345,智邦,3.486700,817000
3105,穩懋,3.401800,4414000
4958,臻鼎-KY,2.887000,3178000
3491,昇達科,2.512700,988000
6531,愛普,2.436000,1440000
3017,奇鋐,2.281900,407000
3008,大立光,2.190800,248000
2303,聯電,2.158700,9109000
6488,環球晶,2.038500,1134000
3264,欣銓,1.993900,4780000
6257,矽格,1.959900,4821000
2377,微星,1.848800,5678000
3583,辛耘,1.637600,1158000
2467,志聖,1.600600,1505000
6274,台燿,1.387200,450000
8016,矽創,1.362400,2270000
3702,大聯大,1.340100,5678000
3711,日月光投控,1.215600,1016000
7769,鴻勁,1.161100,93000
2316,楠梓電,1.080000,3471000
3036,文曄,1.007400,2404000
5274,信驊,1.000600,29900
1785,光洋科,0.899500,4384000
8996,高力,0.861100,382000
2327,國巨,0.807200,696000
2351,順德,0.767500,2316000
6278,台表科,0.761000,2310000
2472,立隆電,0.738400,1533000
3529,力旺,0.476600,93000
6831,邁科,0.391800,300000
6239,力成,0.385000,710000
2376,技嘉,0.320500,443000
2451,創見,0.295600,521000
2885,元大金,0.281300,2128420
6187,萬潤,0.202500,91000
6446,藥華藥,0.116500,42000
3231,緯創,0.033900,91000
6177,達麗,0.017800,194350
3443,創意,0.009800,1000
2368,金像電,0.003800,2000
8046,南電,0.002400,1000
4441,振大環球,0.001500,4000
1519,華城,0.000900,660
8358,金居,0.000800,1000
3706,神達,0.000200,1400
2886,兆豐金,0.000000,1000
2881,富邦金,0.000000,250
