資料日期,2026/08/12
檔案標籤日,2026/08/12
持股來源,finmind
FinMind資料集,TaiwanStockActiveETFHolding
FinMind查詢ETF,00403A
基金資產淨值,180703218767.665375
淨資產估算方式,finmind_market_value_div_weight

股票代號,股票名稱,持股權重,股數
2330,台積電,16.940000,12680000
3017,奇鋐,5.660000,3515000
2303,聯電,5.370000,79000000
2383,台光電,5.180000,1635000
3037,欣興,4.680000,8460000
2454,聯發科,4.440000,2000000
2344,華邦電,4.140000,42300000
6223,旺矽,3.870000,1060000
2308,台達電,3.010000,3040000
2327,國巨,3.000000,9000000
2345,智邦,2.830000,2307000
3711,日月光投控,2.750000,8000000
5274,信驊,2.060000,214500
3189,景碩,2.020000,4250000
3653,健策,1.980000,800000
6669,緯穎,1.670000,500000
6274,台燿,1.490000,1680000
3443,創意,1.450000,510000
3665,貿聯-KY,1.430000,1200000
3533,嘉澤,1.380000,1240000
6488,環球晶,1.370000,2646000
8046,南電,1.260000,1795000
3008,大立光,1.170000,462000
2360,致茂,1.090000,897000
8996,高力,1.040000,1600000
6239,力成,0.830000,5360000
1303,南亞,0.730000,7000000
6805,富世達,0.710000,700000
1560,中砂,0.600000,1500000
2337,旺宏,0.570000,7498000
2317,鴻海,0.480000,3200000
7769,鴻勁,0.470000,130000
3211,順達,0.460000,2000000
3450,聯鈞,0.450000,1600000
3583,辛耘,0.370000,900000
8358,金居,0.210000,900000
2049,上銀,0.210000,1010000
6442,光聖,0.200000,225000
4966,譜瑞-KY,0.160000,500000
2404,漢唐,0.160000,250000
4958,臻鼎-KY,0.130000,500000
1717,長興,0.110000,2500000
3264,欣銓,0.080000,700000
2481,強茂,0.080000,1100000
2455,全新,0.070000,336000
6285,啟碁,0.050000,350000
6415,矽力*-KY,0.040000,150000
8299,群聯,0.000000,1000
6196,帆宣,0.000000,1000
5347,世界,0.000000,1000
